,State,823,829,836,843,850,857,864
0,Washington,NaN,9412,12637,14577,15300,15385,15493
1,Illinois,NaN,20627,29825,35600,37344,37191,36397
2,California,NaN,35432,55134,68215,73652,77308,81924
3,Arizona,NaN,3319,2389,2108,2075,2142,2320
4,Massachusetts,NaN,14099,17790,20104,21087,21221,21637
5,Wisconsin,NaN,6606,9713,11675,12369,12877,13492
6,Texas,NaN,22310,35281,43442,45049,45145,45196
7,Nebraska,NaN,778,905,1008,1071,1173,1350
8,Utah,NaN,877,1404,1759,1921,2082,2235
9,Oregon,NaN,5080,8155,10063,10573,10691,10767
10,Florida,NaN,12853,18971,23456,25792,28128,31175
11,New York,NaN,47311,62106,72040,74736,75671,75982
12,Rhode Island,NaN,2319,3074,3544,3683,3688,3713
13,Georgia,NaN,2908,3106,3421,3656,3959,4559
14,New Hampshire,NaN,2261,2711,3051,3236,3406,3565
15,North Carolina,NaN,8749,13064,15600,16166,16242,16344
16,New Jersey,NaN,15262,19818,23474,24863,26308,27747
17,Colorado,NaN,10518,12864,14408,14846,15322,15546
18,Maryland,NaN,5865,9322,11616,12637,13367,14414
19,Nevada,NaN,1235,1406,1536,1599,1667,1775
20,Tennessee,NaN,1989,2548,2931,3159,3451,3888
21,Hawaii,NaN,1592,2174,2561,2713,2878,3059
22,Indiana,NaN,3084,5649,7225,7764,8117,8484
23,Kentucky,NaN,3341,3826,4276,4511,4730,5114
24,Minnesota,NaN,6495,9463,11261,11902,12208,12517
25,Oklahoma,NaN,1697,1914,2074,2217,2422,2761
26,Pennsylvania,NaN,10911,16210,19760,21496,22655,24153
27,South Carolina,NaN,1280,1603,1896,2014,2193,2447
28,District of Columbia,NaN,1793,1976,2109,2120,2094,1971
29,Kansas,NaN,764,804,890,933,989,1060
30,Missouri,NaN,953,1003,1134,1205,1338,1556
31,Vermont,NaN,1875,2198,2410,2367,2262,2091
32,Virginia,NaN,9354,12589,14292,14741,15083,15940
33,Connecticut,NaN,6444,8748,10090,10589,10580,10649
34,Iowa,NaN,1050,1336,1547,1669,1801,1960
35,Louisiana,NaN,1417,2191,2754,3027,3243,3544
36,Ohio,NaN,6103,9411,11539,12429,13127,13926
37,Michigan,NaN,9584,14976,18440,19671,20257,20813
38,South Dakota,NaN,145,172,194,206,218,244
39,Arkansas,NaN,535,559,608,660,728,824
40,Delaware,NaN,1273,1859,2234,2367,2424,2484
41,Mississippi,NaN,712,797,886,958,1042,1161
42,New Mexico,NaN,1228,1594,1817,1910,2048,2232
43,North Dakota,NaN,221,286,331,362,391,428
44,Wyoming,NaN,78,77,83,89,98,109
45,Alaska,NaN,1317,1457,1555,1613,1680,1742
46,Maine,NaN,2216,2490,2675,2701,2722,2723
47,Alabama,NaN,1972,2923,3584,3860,4106,4419
48,Idaho,NaN,464,549,601,618,653,699
49,Montana,NaN,386,483,538,558,590,613
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,866,1053,1170,1255,1362,1482
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
