,State,816,822,829,836,843,850,857
0,Washington,NaN,6834,9321,11016,11763,12415,13379
1,Illinois,NaN,13004,17761,21022,22797,24586,26719
2,California,NaN,26532,39921,48982,53083,56402,60986
3,Arizona,NaN,5026,5217,5525,5434,5177,5030
4,Massachusetts,NaN,11361,16085,19195,20306,20913,21807
5,Wisconsin,NaN,4892,6863,8194,8876,9519,10538
6,Texas,NaN,18916,21772,24476,26287,28901,33022
7,Nebraska,NaN,1414,1830,2099,2259,2441,2749
8,Utah,NaN,702,1017,1213,1356,1516,1774
9,Oregon,NaN,2798,4097,4995,5451,6004,6643
10,Florida,NaN,10633,14923,18219,20441,22943,26980
11,New York,NaN,37535,55644,66893,71277,73464,75521
12,Rhode Island,NaN,2100,2936,3436,3638,3875,4101
13,Georgia,NaN,3705,4525,5228,5729,6415,7415
14,New Hampshire,NaN,2132,3085,3691,3977,4233,4510
15,North Carolina,NaN,4651,4930,5265,5528,5942,6543
16,New Jersey,NaN,13775,20590,25253,27525,29563,31703
17,Colorado,NaN,8957,11134,12605,13357,14054,15228
18,Maryland,NaN,3862,5994,7616,8513,9530,10956
19,Nevada,NaN,1243,1461,1633,1738,1850,2042
20,Tennessee,NaN,1735,1954,2128,2303,2545,2922
21,Hawaii,NaN,1354,1750,2041,2263,2510,2894
22,Indiana,NaN,1214,1283,1377,1518,1656,1908
23,Kentucky,NaN,3305,3695,4019,4103,4143,4333
24,Minnesota,NaN,3847,4991,5765,6210,6748,7466
25,Oklahoma,NaN,1780,1919,2091,2235,2484,2893
26,Pennsylvania,NaN,7386,11382,14095,15586,17138,19001
27,South Carolina,NaN,1053,1101,1199,1293,1417,1662
28,District of Columbia,NaN,1898,3298,4126,4198,4025,3769
29,Kansas,NaN,226,114,77,66,69,72
30,Missouri,NaN,1543,1479,1588,1711,1912,2299
31,Vermont,NaN,1393,1668,1825,1851,1841,1840
32,Virginia,NaN,8153,11144,13237,14247,15097,16342
33,Connecticut,NaN,4926,7028,8416,8961,9431,10092
34,Iowa,NaN,1025,1321,1539,1661,1822,2058
35,Louisiana,NaN,951,1334,1610,1779,1969,2284
36,Ohio,NaN,5233,8243,10252,11112,11647,12341
37,Michigan,NaN,7560,11561,14160,15259,15961,16885
38,South Dakota,NaN,140,158,176,180,198,225
39,Arkansas,NaN,895,631,552,569,639,752
40,Delaware,NaN,737,921,1082,1157,1270,1437
41,Mississippi,NaN,944,1144,1313,1440,1574,1771
42,New Mexico,NaN,933,1025,1125,1186,1318,1521
43,North Dakota,NaN,178,236,267,302,338,388
44,Wyoming,NaN,97,88,95,98,106,122
45,Alaska,NaN,1143,1218,1302,1360,1448,1599
46,Maine,NaN,1822,2331,2611,2692,2743,2849
47,Alabama,NaN,1379,1748,1981,2174,2342,2680
48,Idaho,NaN,468,380,356,365,390,433
49,Montana,NaN,255,280,298,319,337,371
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,549,550,571,620,687,783
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
