,Region,537,542,549,556,563
0,Belgium,,11,9,9,9
1,Bulgaria,,24,19,16,13
2,Czechia,,11,10,9,7
3,Denmark,,3,2,2,1
4,Germany,,141,98,68,46
5,Estonia,,1,2,2,3
6,Ireland,,5,4,3,3
7,Greece,,46,36,30,25
8,Spain,,108,104,96,87
9,France,,122,114,107,98
10,Croatia,,5,3,1,1
11,Italy,,75,59,52,51
12,Cyprus,,1,1,1,1
13,Latvia,,14,11,9,7
14,Lithuania,,4,2,1,1
15,Luxembourg,,0,0,0,0
16,Hungary,,3,2,2,1
17,Malta,,0,0,0,0
18,Netherlands,,7,7,7,7
19,Austria,,11,12,13,12
20,Poland,,82,68,57,48
21,Portugal,,37,36,34,31
22,Romania,,366,290,235,192
23,Slovenia,,2,1,1,1
24,Slovakia,,9,6,4,3
25,Finland,,3,3,3,3
26,Sweden,,2,1,0,0
27,United Kingdom,,151,138,125,113
28,Iceland,,0,0,0,0
29,Liechtenstein,,0,0,0,0
30,Norway,,2,1,1,1
31,Switzerland,,6,5,4,3
