,Region,621,626,633,640,647
0,Belgium,,53,50,46,42
1,Bulgaria,,503,523,521,505
2,Czechia,,11,10,9,9
3,Denmark,,16,15,14,13
4,Germany,,403,382,359,337
5,Estonia,,18,18,17,15
6,Ireland,,37,39,38,36
7,Greece,,201,175,151,128
8,Spain,,226,157,106,69
9,France,,215,172,138,111
10,Croatia,,92,91,86,80
11,Italy,,362,332,298,267
12,Cyprus,,1,1,0,0
13,Latvia,,47,44,40,36
14,Lithuania,,167,201,232,245
15,Luxembourg,,0,0,0,0
16,Hungary,,34,33,31,29
17,Malta,,2,2,1,1
18,Netherlands,,29,26,23,20
19,Austria,,70,67,63,58
20,Poland,,137,144,141,133
21,Portugal,,32,27,23,19
22,Romania,,1190,1310,1347,1312
23,Slovenia,,38,37,35,33
24,Slovakia,,54,54,50,45
25,Finland,,9,9,8,8
26,Sweden,,34,29,25,22
27,United Kingdom,,846,765,694,632
28,Iceland,,0,0,0,0
29,Liechtenstein,,0,0,0,0
30,Norway,,3,3,2,2
31,Switzerland,,49,47,41,36
