,Region,460,465,472,479,486
0,Belgium,,276,241,196,152
1,Bulgaria,,629,571,515,464
2,Czechia,,390,285,205,146
3,Denmark,,19,22,25,26
4,Germany,,1655,1735,1765,1730
5,Estonia,,51,43,37,32
6,Ireland,,44,36,31,27
7,Greece,,551,535,511,483
8,Spain,,356,246,166,111
9,France,,1903,1773,1631,1486
10,Croatia,,313,311,294,273
11,Italy,,2101,1768,1463,1197
12,Cyprus,,12,11,10,8
13,Latvia,,51,48,44,42
14,Lithuania,,94,96,94,89
15,Luxembourg,,6,4,3,2
16,Hungary,,1447,1332,1220,1113
17,Malta,,2,1,0,0
18,Netherlands,,124,111,98,86
19,Austria,,186,166,142,118
20,Poland,,3562,3425,3263,3096
21,Portugal,,32,25,18,12
22,Romania,,1165,1133,1082,1023
23,Slovenia,,41,38,36,34
24,Slovakia,,410,376,346,320
25,Finland,,12,9,6,4
26,Sweden,,135,121,108,96
27,United Kingdom,,100,75,56,43
28,Iceland,,0,0,0,0
29,Liechtenstein,,0,1,0,0
30,Norway,,26,28,29,28
31,Switzerland,,43,35,29,24
