,State,292,297,304,311,318,325,332,339,346,353
0,Washington,2460,77,86,88,93,98,103,108,112,117
1,Illinois,10563,502,584,605,609,608,603,593,577,556
2,California,18021,390,393,367,348,339,333,329,327,323
3,Arizona,6164,109,111,102,96,93,90,87,84,80
4,Massachusetts,10163,207,223,215,201,188,177,165,155,146
5,Wisconsin,2595,325,380,440,521,612,696,757,786,781
6,Texas,19217,706,790,844,909,965,993,983,944,888
7,Nebraska,710,71,84,98,117,140,159,171,175,171
8,Utah,661,32,36,36,35,34,33,32,31,30
9,Oregon,734,42,47,51,59,70,83,94,104,112
10,Florida,17179,470,475,441,416,400,387,373,360,347
11,New York,33923,136,245,308,320,317,311,305,298,291
12,Rhode Island,1233,41,48,46,44,41,38,36,33,31
13,Georgia,8677,225,226,208,199,195,193,191,189,187
14,New Hampshire,489,13,21,38,71,92,78,54,38,32
15,North Carolina,4615,194,203,204,212,224,237,250,263,275
16,New Jersey,16440,128,228,274,267,245,220,197,176,157
17,Colorado,2408,84,165,214,224,218,206,192,174,155
18,Maryland,4221,67,76,76,75,75,75,75,76,76
19,Nevada,1852,42,48,49,47,46,44,43,41,40
20,Tennessee,3610,193,207,213,221,233,247,260,271,280
21,Hawaii,221,11,11,10,10,10,10,10,10,10
22,Indiana,4664,306,350,387,440,504,572,635,687,721
23,Kentucky,1576,98,110,121,139,162,187,213,235,253
24,Minnesota,2729,209,252,294,349,413,477,529,562,569
25,Oklahoma,1444,81,86,87,93,100,108,115,122,128
26,Pennsylvania,9008,224,277,306,327,351,381,414,444,468
27,South Carolina,4041,112,115,111,111,115,119,122,126,129
28,District of Columbia,655,4,7,8,8,7,7,6,5,5
29,Kansas,1181,102,120,138,164,193,216,230,236,237
30,Missouri,3165,257,284,305,340,382,425,466,500,523
31,Vermont,59,0,0,0,0,0,1,1,2,2
32,Virginia,3713,88,100,111,127,148,170,193,214,232
33,Connecticut,4698,85,128,144,141,132,121,109,99,89
34,Iowa,1872,212,247,280,324,369,406,433,444,440
35,Louisiana,6048,70,71,65,63,62,62,62,61,61
36,Ohio,5524,196,253,286,307,324,340,353,363,368
37,Michigan,8008,379,490,555,602,647,688,719,738,744
38,South Dakota,537,72,86,98,115,132,145,151,149,141
39,Arkansas,2108,113,119,118,121,126,131,137,141,144
40,Delaware,719,21,22,20,19,19,18,18,18,17
41,Mississippi,3443,65,68,67,67,68,69,70,71,72
42,New Mexico,1130,60,70,78,86,96,107,118,128,137
43,North Dakota,644,76,96,120,145,161,162,149,130,110
44,Wyoming,114,26,34,45,61,79,98,113,121,121
45,Alaska,84,14,16,19,22,27,32,37,41,43
46,Maine,153,2,5,8,10,14,19,23,26,26
47,Alabama,3084,92,95,89,88,88,89,90,91,91
48,Idaho,698,59,65,69,75,83,91,97,101,102
49,Montana,457,75,92,114,144,176,205,225,237,239
50,Puerto Rico,882,54,57,58,59,62,66,70,74,78
51,Virgin Islands,23,0,0,0,0,0,0,0,0,0
52,Guam,90,4,5,5,5,5,5,5,5,5
53,West Virginia,530,36,46,62,88,126,167,204,230,243
54,Northern Mariana Islands,2,0,0,0,0,0,0,0,0,0
55,American Samoa,0,0,0,0,0,0,0,0,0,0
