,State,327,332,339,346
0,Washington,203797,23893,23579,21358
1,Illinois,856118,60510,60887,61488
2,California,1611493,211901,212112,209912
3,Arizona,420248,43642,43363,43831
4,Massachusetts,294231,33891,33577,35303
5,Wisconsin,471285,28444,29455,28643
6,Texas,1491942,91213,88293,88934
7,Nebraska,149344,9423,9614,10051
8,Utah,235872,19438,19856,19841
9,Oregon,95010,9726,9389,9419
10,Florida,1134383,67980,67843,66018
11,New York,784137,69295,70737,71246
12,Rhode Island,74071,8790,8677,8825
13,Georgia,546558,37857,37889,38057
14,New Hampshire,31875,6020,6081,6223
15,North Carolina,441365,41173,40697,40502
16,New Jersey,405448,34587,33549,33485
17,Colorado,291104,28613,27902,28513
18,Maryland,236961,19872,19526,19122
19,Nevada,189413,17918,17657,17656
20,Tennessee,464624,46423,46268,46214
21,Hawaii,19775,778,766,763
22,Indiana,430401,44384,45507,45083
23,Kentucky,224889,23118,22836,22227
24,Minnesota,381841,31331,31951,30495
25,Oklahoma,239767,19299,19440,18731
26,Pennsylvania,505174,69740,69709,70168
27,South Carolina,254776,19621,19946,19798
28,District of Columbia,25038,1773,1772,1774
29,Kansas,193010,16801,16683,16303
30,Missouri,356107,24412,24600,24670
31,Vermont,5857,748,688,678
32,Virginia,285149,27201,26202,26002
33,Connecticut,153992,18861,18974,18772
34,Iowa,257311,11682,11815,11471
35,Louisiana,269643,17360,17930,17610
36,Ohio,570602,86296,84774,85398
37,Michigan,472780,38896,38847,39480
38,South Dakota,91354,5028,5168,5115
39,Arkansas,187057,14881,14995,15007
40,Delaware,46457,5757,5720,5812
41,Mississippi,181095,14645,14295,14480
42,New Mexico,121299,12073,11958,11109
43,North Dakota,88067,5240,5320,5133
44,Wyoming,39775,3005,2935,2936
45,Alaska,41573,4127,4170,4210
46,Maine,16349,2461,2512,2520
47,Alabama,297895,24685,24196,23970
48,Idaho,122217,10883,10939,10940
49,Montana,73303,5532,5906,5845
50,Puerto Rico,62985,6223,6189,6421
51,Virgin Islands,1807,156,154,160
52,Guam,7137,121,93,84
53,West Virginia,64394,8518,8674,8682
54,Northern Mariana Islands,113,7,7,7
55,American Samoa,0,0,0,0
