,State,179,185,192,199
0,Washington,46946,7424,9827,12743
1,Illinois,162750,9693,12930,16657
2,California,386906,73858,90293,106156
3,Arizona,143624,21719,20503,17538
4,Massachusetts,108252,2176,2671,3201
5,Wisconsin,42315,7645,10478,14149
6,Texas,335257,92158,120258,147947
7,Nebraska,22583,1572,2009,2564
8,Utah,34117,5121,5216,5220
9,Oregon,14579,2800,3111,3506
10,Florida,350047,102223,120468,139167
11,New York,406807,5376,6559,7455
12,Rhode Island,17793,498,705,891
13,Georgia,143129,33031,43557,54937
14,New Hampshire,6203,150,160,166
15,North Carolina,101815,15810,18232,20276
16,New Jersey,176783,1429,1583,1573
17,Colorado,40124,4333,5957,7880
18,Maryland,78131,6094,7723,9870
19,Nevada,35765,9868,13096,16779
20,Tennessee,78115,19435,27002,35701
21,Hawaii,1381,211,192,168
22,Indiana,56571,6102,7907,10278
23,Kentucky,23161,4893,6040,8160
24,Minnesota,46204,5030,5878,7623
25,Oklahoma,25266,6497,9551,12658
26,Pennsylvania,105384,6446,8084,10080
27,South Carolina,69986,15081,15434,15947
28,District of Columbia,11261,514,627,776
29,Kansas,21996,3749,4834,6141
30,Missouri,33521,7039,9671,12782
31,Vermont,1350,58,48,39
32,Virginia,77430,8265,11180,14953
33,Connecticut,47893,549,773,944
34,Iowa,38813,4449,5208,6306
35,Louisiana,91706,17272,18078,21370
36,Ohio,74932,11932,15844,20928
37,Michigan,81868,6201,8458,10779
38,South Dakota,7906,427,478,506
39,Arkansas,33228,5436,5624,5703
40,Delaware,13519,727,830,886
41,Mississippi,42638,7642,9612,11443
42,New Mexico,16971,2249,2734,3224
43,North Dakota,5019,924,1251,1697
44,Wyoming,2126,287,362,416
45,Alaska,1875,550,630,725
46,Maine,3687,129,84,65
47,Alabama,67011,16891,22709,29321
48,Idaho,14874,5288,6984,8837
49,Montana,2533,1019,1499,2028
50,Puerto Rico,12063,NaN,NaN,NaN
51,Virgin Islands,283,NaN,NaN,NaN
52,Guam,314,NaN,NaN,NaN
53,West Virginia,4990,1171,1558,2135
54,Northern Mariana Islands,37,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
