,State,277,283,290,297
0,Washington,102913,5416,6124,6938
1,Illinois,378958,34474,40642,46345
2,California,906596,27625,31210,31831
3,Arizona,238163,6882,7714,8693
4,Massachusetts,150565,6267,7049,7298
5,Wisconsin,198166,30005,37262,42964
6,Texas,892006,43084,49348,55840
7,Nebraska,63797,7403,8640,10155
8,Utah,104882,10596,11829,13036
9,Oregon,42101,2802,3181,3513
10,Florida,778636,25447,28242,30349
11,New York,495464,11396,12455,13359
12,Rhode Island,30118,2500,2961,3286
13,Georgia,350923,10628,11740,12389
14,New Hampshire,10328,759,938,1131
15,North Carolina,260099,16642,18577,20761
16,New Jersey,228468,7771,8353,8274
17,Colorado,95066,10350,12772,15231
18,Maryland,140279,4686,4958,5216
19,Nevada,95703,5583,6372,7072
20,Tennessee,247587,19020,22214,25239
21,Hawaii,14672,697,785,863
22,Indiana,162607,16844,19776,22503
23,Kentucky,96942,10400,12507,14533
24,Minnesota,133802,13068,14914,17197
25,Oklahoma,116736,10439,12001,13138
26,Pennsylvania,198713,13419,15747,18062
27,South Carolina,170678,6909,7188,7610
28,District of Columbia,16767,406,428,439
29,Kansas,75816,6542,7419,8453
30,Missouri,171796,15917,17950,20583
31,Vermont,2073,136,192,247
32,Virginia,173371,7998,8674,9471
33,Connecticut,66052,3577,4042,4602
34,Iowa,116238,9637,11048,12223
35,Louisiana,179842,4054,4162,4433
36,Ohio,198115,17929,21341,24929
37,Michigan,175612,17534,21502,25277
38,South Dakota,39203,6818,8087,9165
39,Arkansas,106115,7945,9075,9937
40,Delaware,23961,1041,1105,1194
41,Mississippi,115088,6009,6625,7097
42,New Mexico,41863,5904,7465,9134
43,North Dakota,37719,6709,7776,8729
44,Wyoming,11041,2522,3304,4134
45,Alaska,14070,1996,2477,2913
46,Maine,6199,270,310,360
47,Alabama,184355,9839,11725,12972
48,Idaho,59344,7572,9229,10900
49,Montana,27880,6448,8021,9822
50,Puerto Rico,62503,NaN,NaN,NaN
51,Virgin Islands,1346,NaN,NaN,NaN
52,Guam,4141,NaN,NaN,NaN
53,West Virginia,21907,2507,2970,3609
54,Northern Mariana Islands,88,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
