,State,361,367,374,381
0,Washington,289939,18514,18095,19805
1,Illinois,1068829,43393,40433,38537
2,California,2991731,308367,311925,323500
3,Arizona,673882,64604,62696,62236
4,Massachusetts,470140,44830,45019,46186
5,Wisconsin,568166,20840,19847,20174
6,Texas,2127111,171215,183837,196383
7,Nebraska,181978,5939,5327,5145
8,Utah,323837,19184,18065,17709
9,Oregon,133205,8882,9049,9414
10,Florida,1571279,115872,120651,131335
11,New York,1242561,128379,136922,147292
12,Rhode Island,104443,7038,7083,7382
13,Georgia,815995,74735,79381,87518
14,New Hampshire,56864,5743,5849,6055
15,North Carolina,674637,63607,67795,75194
16,New Jersey,627221,44405,45919,46056
17,Colorado,374981,16476,15331,14840
18,Maryland,326445,23032,23815,25186
19,Nevada,261573,14590,13469,12746
20,Tennessee,685321,38493,35684,34799
21,Hawaii,24595,1375,1456,1665
22,Indiana,590211,32312,29732,28940
23,Kentucky,326674,29153,30616,33097
24,Minnesota,446380,11965,10516,9903
25,Oklahoma,354979,29001,29002,30313
26,Pennsylvania,770985,54304,51097,50030
27,South Carolina,388184,38491,42213,46072
28,District of Columbia,33851,2273,2375,2481
29,Kansas,258354,14840,14644,14850
30,Missouri,449379,18456,16987,16795
31,Vermont,10057,1483,1686,1955
32,Virginia,439305,41507,45631,50423
33,Connecticut,223422,18616,18918,20597
34,Iowa,305151,9859,9175,9123
35,Louisiana,368980,25068,25600,27906
36,Ohio,826754,56126,54647,54217
37,Michigan,581785,21336,19858,18918
38,South Dakota,105544,2262,2019,1807
39,Arkansas,271154,19933,19908,20290
40,Delaware,70294,5561,5663,5849
41,Mississippi,252475,16546,16337,16736
42,New Mexico,163637,8783,8413,8402
43,North Dakota,95864,1159,1019,945
44,Wyoming,49363,2363,2387,2412
45,Alaska,51938,1931,1850,1827
46,Maine,33559,5318,6344,7442
47,Alabama,422598,26412,24892,25102
48,Idaho,155554,6583,6424,6200
49,Montana,89393,3565,3436,3470
50,Puerto Rico,87381,NaN,NaN,NaN
51,Virgin Islands,2260,NaN,NaN,NaN
52,Guam,7474,NaN,NaN,NaN
53,West Virginia,108821,10245,10266,10744
54,Northern Mariana Islands,128,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
