,State,305,311,318,325
0,Washington,141260,16670,19652,23661
1,Illinois,656298,96421,101895,106810
2,California,1114524,94540,118011,140768
3,Arizona,299665,26836,33642,39734
4,Massachusetts,206850,20822,22232,22942
5,Wisconsin,376238,55020,57357,58257
6,Texas,1153529,90325,104858,118376
7,Nebraska,114061,18188,19442,20409
8,Utah,177176,26858,31317,34626
9,Oregon,65170,9649,11889,14252
10,Florida,938414,64384,79704,94870
11,New York,596214,43175,50807,59060
12,Rhode Island,48001,5368,5576,5841
13,Georgia,449132,28547,34716,39974
14,New Hampshire,17637,3394,3967,4350
15,North Carolina,336775,26569,31291,35780
16,New Jersey,306007,31126,34889,37865
17,Colorado,198600,40657,44711,47354
18,Maryland,182139,18231,22096,25873
19,Nevada,133888,15468,18324,21307
20,Tennessee,340476,35189,38448,43393
21,Hawaii,17483,679,738,764
22,Indiana,295357,52375,57697,61776
23,Kentucky,158100,23502,27626,30696
24,Minnesota,270157,55388,60914,66133
25,Oklahoma,174330,24765,29004,33337
26,Pennsylvania,313358,47532,55384,62039
27,South Carolina,206295,13461,16024,18827
28,District of Columbia,20151,1428,1724,2089
29,Kansas,137085,21832,24843,27491
30,Missouri,277112,38964,43269,48146
31,Vermont,3629,840,971,1064
32,Virginia,217796,16629,20544,24098
33,Connecticut,101469,12646,13959,15139
34,Iowa,211664,33045,33219,33574
35,Louisiana,220192,16513,19888,23171
36,Ohio,351419,63612,72979,82509
37,Michigan,329021,60991,68759,75458
38,South Dakota,73065,9399,8502,7812
39,Arkansas,145173,14853,17093,19390
40,Delaware,31808,3445,4237,4991
41,Mississippi,143180,10817,12824,14333
42,New Mexico,81896,16293,19577,20586
43,North Dakota,72683,9848,9270,8491
44,Wyoming,28169,6650,7060,7331
45,Alaska,27773,4347,3675,2937
46,Maine,10359,1656,1815,1962
47,Alabama,232506,18311,21601,25170
48,Idaho,91653,11192,12183,13045
49,Montana,55680,8838,9174,8873
50,Puerto Rico,47459,NaN,NaN,NaN
51,Virgin Islands,1504,NaN,NaN,NaN
52,Guam,6452,NaN,NaN,NaN
53,West Virginia,40478,8105,9520,10744
54,Northern Mariana Islands,104,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
