,State,389,395,402,409
0,Washington,328047,7917,7319,6871
1,Illinois,1162154,15597,13526,11814
2,California,3485841,67386,54840,45603
3,Arizona,797270,15755,12313,10063
4,Massachusetts,557777,14779,12432,10775
5,Wisconsin,607213,6527,5644,4898
6,Texas,2565258,79993,71834,65620
7,Nebraska,197236,3125,3389,3029
8,Utah,361294,6370,5549,4717
9,Oregon,150281,3656,3384,3240
10,Florida,1827373,50499,46754,42749
11,New York,1539870,57088,53013,48037
12,Rhode Island,120821,2762,2423,2189
13,Georgia,964737,25818,22920,20471
14,New Hampshire,70785,2557,2463,2305
15,North Carolina,821894,30436,27225,25490
16,New Jersey,745987,23506,21879,19758
17,Colorado,413836,8513,8176,7619
18,Maryland,370983,7698,6777,6021
19,Nevada,288348,4081,3377,2784
20,Tennessee,757418,13565,12146,10846
21,Hawaii,27058,475,421,394
22,Indiana,648875,8955,7185,5954
23,Kentucky,388798,11862,10399,9743
24,Minnesota,473567,5302,4890,4463
25,Oklahoma,413542,11183,9573,8718
26,Pennsylvania,896996,22730,20507,18086
27,South Carolina,487293,20473,19444,18293
28,District of Columbia,38918,981,853,783
29,Kansas,288475,4657,3760,3217
30,Missouri,487338,5634,4673,3967
31,Vermont,13677,1009,1074,1177
32,Virginia,549999,23347,22631,22213
33,Connecticut,267337,7271,6197,5632
34,Iowa,329258,4266,3933,3478
35,Louisiana,419891,8256,7121,6376
36,Ohio,939350,18460,15772,13311
37,Michigan,628956,8082,7131,6246
38,South Dakota,110315,884,841,731
39,Arkansas,313028,7639,6160,5502
40,Delaware,83003,2372,2237,2019
41,Mississippi,287436,5273,4549,3940
42,New Mexico,180571,2690,2381,2011
43,North Dakota,98597,365,336,267
44,Wyoming,53136,532,458,439
45,Alaska,56405,997,930,902
46,Maine,42529,1598,1452,1385
47,Alabama,480931,9001,7237,6162
48,Idaho,167483,2086,1876,1631
49,Montana,97401,1620,1509,1414
50,Puerto Rico,97609,NaN,NaN,NaN
51,Virgin Islands,2524,NaN,NaN,NaN
52,Guam,7689,NaN,NaN,NaN
53,West Virginia,127588,3024,2630,2324
54,Northern Mariana Islands,134,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
