,State,200,206,213,220
0,Washington,63072,4955,4760,4264
1,Illinois,195380,14167,18009,22067
2,California,559746,44068,38366,30737
3,Arizona,186923,7863,5193,3661
4,Massachusetts,114152,3226,3764,4386
5,Wisconsin,60554,6110,6454,6269
6,Texas,503328,47988,42115,33457
7,Nebraska,28432,1909,1961,1986
8,Utah,44127,2584,2159,1677
9,Oregon,21272,2161,2074,1841
10,Florida,532806,41512,30409,20815
11,New York,420860,4497,4712,4773
12,Rhode Island,19738,752,1015,1230
13,Georgia,216596,23729,22525,19797
14,New Hampshire,6835,210,245,269
15,North Carolina,139040,10260,9120,7807
16,New Jersey,184773,2815,2962,3167
17,Colorado,50642,2912,2729,2383
18,Maryland,95503,5887,5484,5484
19,Nevada,56230,5966,4972,3950
20,Tennessee,122712,13276,11617,9879
21,Hawaii,3498,1445,2118,2870
22,Indiana,74328,7091,7956,8827
23,Kentucky,34982,4090,4306,4201
24,Minnesota,60898,5324,5523,5767
25,Oklahoma,43566,5663,5525,4822
26,Pennsylvania,123312,4992,4535,3978
27,South Carolina,100435,7884,6515,4931
28,District of Columbia,12753,506,477,483
29,Kansas,30662,2441,2426,2068
30,Missouri,59383,7828,6218,5361
31,Vermont,1459,29,26,21
32,Virginia,100086,8773,10625,12045
33,Connecticut,50320,526,461,402
34,Iowa,48919,3210,3210,2996
35,Louisiana,131399,10750,7593,5964
36,Ohio,100848,7548,6988,5972
37,Michigan,96726,5118,5287,5093
38,South Dakota,9605,756,870,1065
39,Arkansas,49383,5432,5707,5457
40,Delaware,15575,567,512,443
41,Mississippi,67173,6670,6243,5169
42,New Mexico,22315,1193,896,662
43,North Dakota,7596,1006,1221,1358
44,Wyoming,3050,237,188,147
45,Alaska,3711,574,457,407
46,Maine,4044,93,67,52
47,Alabama,101334,10279,9744,8589
48,Idaho,24675,3057,3118,2474
49,Montana,4952,857,902,815
50,Puerto Rico,22121,NaN,NaN,NaN
51,Virgin Islands,528,NaN,NaN,NaN
52,Guam,418,NaN,NaN,NaN
53,West Virginia,7695,914,838,759
54,Northern Mariana Islands,48,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
