,State,382,388,395,402
0,Washington,320146,10072,9411,9190
1,Illinois,1146346,19557,17389,15199
2,California,3417982,99500,82249,70952
3,Arizona,780637,25959,21591,18794
4,Massachusetts,543934,19744,17761,15896
5,Wisconsin,600782,8739,7787,6945
6,Texas,2494861,113302,105722,103369
7,Nebraska,193722,2888,2602,2326
8,Utah,354608,8011,6977,6075
9,Oregon,147122,4525,4444,4258
10,Florida,1777983,63814,59238,56799
11,New York,1480224,68167,60813,57101
12,Rhode Island,117891,3565,3199,3022
13,Georgia,940991,35192,31863,29549
14,New Hampshire,68379,3084,2920,2780
15,North Carolina,796195,40204,39871,39213
16,New Jersey,722167,26783,23822,21973
17,Colorado,405330,8893,8440,7667
18,Maryland,363650,10177,8968,8263
19,Nevada,284042,5614,4734,4025
20,Tennessee,744600,15576,13660,11452
21,Hawaii,26684,668,652,631
22,Indiana,639711,11676,9834,8008
23,Kentucky,377790,15978,15464,15050
24,Minnesota,468118,5891,5417,4839
25,Oklahoma,403954,14922,14070,13090
26,Pennsylvania,873146,27499,23555,21194
27,South Carolina,466373,23484,22516,21610
28,District of Columbia,38035,1318,1238,1159
29,Kansas,283926,6491,5883,5154
30,Missouri,481929,8282,7304,6538
31,Vermont,12900,1146,1279,1441
32,Virginia,529125,27926,27182,26573
33,Connecticut,259372,9327,8252,7788
34,Iowa,324590,5074,4444,3996
35,Louisiana,411812,12540,10771,10383
36,Ohio,920217,25939,23181,20943
37,Michigan,620685,10531,9468,8521
38,South Dakota,109229,835,726,587
39,Arkansas,306736,11082,10685,9808
40,Delaware,80594,2568,2121,1953
41,Mississippi,281678,7779,6585,5981
42,New Mexico,177556,3572,2991,2624
43,North Dakota,98155,536,419,365
44,Wyoming,52627,842,751,701
45,Alaska,55259,964,861,792
46,Maine,41219,2362,2283,2281
47,Alabama,472423,14041,12422,11055
48,Idaho,165209,2544,2235,1983
49,Montana,95790,2061,1934,1836
50,Puerto Rico,95839,NaN,NaN,NaN
51,Virgin Islands,2466,NaN,NaN,NaN
52,Guam,7636,NaN,NaN,NaN
53,West Virginia,124708,4310,3738,3439
54,Northern Mariana Islands,133,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
