,State,291,297,304,311
0,Washington,117331,9369,11969,14198
1,Illinois,487987,70124,83168,91268
2,California,972713,42153,51730,61647
3,Arizona,259264,14373,18038,21734
4,Massachusetts,171399,13664,16796,19161
5,Wisconsin,281910,43883,51066,55917
6,Texas,1003478,59015,66470,71888
7,Nebraska,83969,13218,16338,18560
8,Utah,132621,16025,18365,20138
9,Oregon,50448,5480,6922,8278
10,Florida,843897,39859,48010,57338
11,New York,529036,21415,26344,30956
12,Rhode Island,36380,2729,3014,3267
13,Georgia,406061,13277,14938,17049
14,New Hampshire,12488,1384,1699,1968
15,North Carolina,293339,19724,22165,24987
16,New Jersey,254595,17519,21772,25375
17,Colorado,130984,23728,28955,33379
18,Maryland,153996,9138,11591,14011
19,Nevada,110022,8782,10788,12743
20,Tennessee,281851,18691,21003,22011
21,Hawaii,16179,821,1023,1207
22,Indiana,210374,31084,37814,43352
23,Kentucky,120838,15480,17913,20311
24,Minnesota,180862,30327,38057,44064
25,Oklahoma,136258,8975,9435,9932
26,Pennsylvania,235014,23450,28458,33125
27,South Carolina,185688,9002,10266,11539
28,District of Columbia,18001,793,965,1201
29,Kansas,104622,13085,16267,18704
30,Missouri,212869,27122,33362,38688
31,Vermont,2392,204,249,291
32,Virginia,192175,11624,13645,15808
33,Connecticut,78125,7073,8348,9751
34,Iowa,154778,25048,31124,35193
35,Louisiana,192981,4073,4342,4658
36,Ohio,250268,35069,43975,51864
37,Michigan,229073,37008,46276,53996
38,South Dakota,55404,10127,11052,11729
39,Arkansas,121866,9913,11904,13370
40,Delaware,26603,1550,1883,2244
41,Mississippi,126689,6574,7552,8177
42,New Mexico,54881,8467,9951,10914
43,North Dakota,54305,10914,12078,12276
44,Wyoming,17310,3860,4431,4802
45,Alaska,19826,3707,4371,5002
46,Maine,7693,1061,1370,1609
47,Alabama,204665,11340,11885,12166
48,Idaho,72961,8609,10069,10895
49,Montana,39679,7106,7440,7387
50,Puerto Rico,38100,NaN,NaN,NaN
51,Virgin Islands,1405,NaN,NaN,NaN
52,Guam,5077,NaN,NaN,NaN
53,West Virginia,28404,3842,4430,5021
54,Northern Mariana Islands,100,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
