,State,284,290,297,304
0,Washington,108315,6006,6831,7617
1,Illinois,423527,36941,38600,41860
2,California,935878,35352,39199,45057
3,Arizona,247473,9466,11068,12073
4,Massachusetts,159707,8126,8325,7840
5,Wisconsin,241422,34450,37193,38619
6,Texas,945828,46680,49988,51669
7,Nebraska,71666,8341,9628,10243
8,Utah,116510,12320,13096,13651
9,Oregon,45429,3724,4456,5175
10,Florida,807412,30787,34564,39064
11,New York,509735,12978,13521,13353
12,Rhode Island,32874,2568,2587,2711
13,Georgia,361982,12927,14448,15859
14,New Hampshire,11214,957,1124,1235
15,North Carolina,276692,18760,21388,23811
16,New Jersey,239629,8955,8678,7831
17,Colorado,109910,14320,16475,17666
18,Maryland,146145,6258,7210,8021
19,Nevada,101477,6919,7913,8850
20,Tennessee,261426,19194,19515,21131
21,Hawaii,15367,531,490,482
22,Indiana,182108,20461,23099,24433
23,Kentucky,108642,13133,15271,16994
24,Minnesota,150672,17008,20050,21636
25,Oklahoma,124111,8264,7708,7428
26,Pennsylvania,214416,16539,18610,20138
27,South Carolina,178023,7620,8174,8817
28,District of Columbia,17369,589,689,755
29,Kansas,90290,7578,8799,9450
30,Missouri,188325,17683,20534,22360
31,Vermont,2196,175,194,226
32,Virginia,182392,9737,11171,12331
33,Connecticut,71207,4230,4451,4397
34,Iowa,130974,13817,16284,16926
35,Louisiana,187720,3353,2927,2851
36,Ohio,219000,22754,26613,29961
37,Michigan,197406,22670,26695,28720
38,South Dakota,47324,7795,8489,8437
39,Arkansas,113057,7789,8128,8333
40,Delaware,25126,1160,1284,1357
41,Mississippi,120500,5853,6142,6331
42,New Mexico,47232,6207,6724,7211
43,North Dakota,45043,7159,7640,7318
44,Wyoming,13723,2895,3251,3500
45,Alaska,16705,3042,3589,4082
46,Maine,6711,539,687,771
47,Alabama,194458,10941,11186,11495
48,Idaho,65088,7056,7411,7807
49,Montana,33495,6206,6567,6590
50,Puerto Rico,34541,NaN,NaN,NaN
51,Virgin Islands,1376,NaN,NaN,NaN
52,Guam,4628,NaN,NaN,NaN
53,West Virginia,24883,2976,3513,3846
54,Northern Mariana Islands,96,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
