,State,354,360,367,374
0,Washington,271595,18114,21292,21895
1,Illinois,1028750,46783,47415,44844
2,California,2717862,301802,315208,315854
3,Arizona,618546,62539,67996,68823
4,Massachusetts,432791,36200,36441,31752
5,Wisconsin,550260,21780,23308,22321
6,Texas,1968189,149432,165540,174797
7,Nebraska,176026,7149,7011,6495
8,Utah,305999,23232,30664,35468
9,Oregon,125683,9159,9748,10198
10,Florida,1477010,112308,128628,136732
11,New York,1135592,117008,127428,131626
12,Rhode Island,97614,5311,5503,5129
13,Georgia,757045,73811,82285,86827
14,New Hampshire,51600,5777,5988,6213
15,North Carolina,623188,61011,68941,73859
16,New Jersey,584828,33699,34447,32616
17,Colorado,361148,18265,18490,17437
18,Maryland,306674,21296,22616,22827
19,Nevada,248569,15659,16009,15445
20,Tennessee,653869,44961,45620,44576
21,Hawaii,23586,1366,1626,1816
22,Indiana,563653,36121,36803,34905
23,Kentucky,303624,27424,31504,33176
24,Minnesota,436572,14127,14146,13158
25,Oklahoma,331362,26430,28213,28431
26,Pennsylvania,723865,57499,58902,56227
27,South Carolina,354525,35334,41001,44356
28,District of Columbia,31791,1980,2135,2156
29,Kansas,243648,16461,16972,17322
30,Missouri,434711,21864,22618,22309
31,Vermont,8967,1293,1604,1859
32,Virginia,398856,38416,42711,45995
33,Connecticut,205994,16725,17417,17925
34,Iowa,296682,11387,11954,11615
35,Louisiana,346829,24784,26337,27368
36,Ohio,777065,58158,59418,57769
37,Michigan,562553,25651,25933,25388
38,South Dakota,103318,2779,2587,2377
39,Arkansas,255076,21268,22656,22991
40,Delaware,65273,5466,5710,5716
41,Mississippi,239082,17605,18858,18793
42,New Mexico,156157,9246,9307,8659
43,North Dakota,94716,1451,1345,1189
44,Wyoming,46832,1910,2001,1967
45,Alaska,50218,2457,2412,2396
46,Maine,29298,4858,5615,6319
47,Alabama,401900,31697,33971,34536
48,Idaho,149667,6938,7122,6836
49,Montana,86324,3692,4153,4085
50,Puerto Rico,83119,NaN,NaN,NaN
51,Virgin Islands,2143,NaN,NaN,NaN
52,Guam,7399,NaN,NaN,NaN
53,West Virginia,101212,11960,12705,13159
54,Northern Mariana Islands,125,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
