,State,312,318,325,332
0,Washington,162700,18929,22638,25407
1,Illinois,720114,69143,59564,51285
2,California,1215455,116353,137449,164398
3,Arizona,325995,33946,40085,47194
4,Massachusetts,224964,18952,18653,18087
5,Wisconsin,409054,34021,27187,22523
6,Texas,1225118,79164,76226,79203
7,Nebraska,126466,11140,9161,7593
8,Utah,193809,16702,13034,11160
9,Oregon,74119,9961,10937,12387
10,Florida,992660,65238,72377,82071
11,New York,641161,51556,60552,69177
12,Rhode Island,53954,5739,5543,5412
13,Georgia,469516,26856,28361,31141
14,New Hampshire,20516,3394,3532,3634
15,North Carolina,361778,29575,33120,37228
16,New Jersey,334114,31689,32629,33530
17,Colorado,228772,34991,33191,31033
18,Maryland,196447,18352,19781,22026
19,Nevada,150527,19306,22744,26171
20,Tennessee,366518,30619,32381,32754
21,Hawaii,18138,774,794,836
22,Indiana,333312,44928,42717,40996
23,Kentucky,176925,21792,22288,23356
24,Minnesota,312969,44492,40729,37693
25,Oklahoma,195545,25098,26938,28728
26,Pennsylvania,360944,56950,64335,70860
27,South Carolina,216129,11736,12182,12930
28,District of Columbia,21448,1267,1324,1407
29,Kansas,155500,21934,22922,24493
30,Missouri,302409,28569,25879,24164
31,Vermont,4100,732,686,681
32,Virginia,235942,21448,25007,29285
33,Connecticut,112581,9932,9019,8275
34,Iowa,228690,17921,13385,10426
35,Louisiana,232245,17174,18385,20897
36,Ohio,414432,68143,72267,76094
37,Michigan,378152,51961,50275,48130
38,South Dakota,79900,6272,5254,4279
39,Arkansas,156247,12841,12892,13117
40,Delaware,35251,4151,4860,5652
41,Mississippi,151785,9762,10224,10847
42,New Mexico,95417,17606,17063,16953
43,North Dakota,78658,6191,4711,3708
44,Wyoming,32489,4839,4054,3561
45,Alaska,32065,4075,3559,2937
46,Maine,11508,1295,1133,1090
47,Alabama,247229,17030,18053,19758
48,Idaho,100484,9740,9591,9418
49,Montana,61801,6556,5629,5245
50,Puerto Rico,51702,NaN,NaN,NaN
51,Virgin Islands,1544,NaN,NaN,NaN
52,Guam,6768,NaN,NaN,NaN
53,West Virginia,46997,7746,8029,8433
54,Northern Mariana Islands,105,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
