,State,368,374,381,388
0,Washington,300198,14647,14785,14881
1,Illinois,1101819,34559,32394,29882
2,California,3187475,228588,206572,202513
3,Arizona,722574,52678,51026,48966
4,Massachusetts,500037,34735,33575,32868
5,Wisconsin,581377,14474,13192,12200
6,Texas,2250421,151367,153460,158560
7,Nebraska,187147,5388,5387,5036
8,Utah,336405,13403,12268,11279
9,Oregon,138168,6329,5873,5788
10,Florida,1649449,90420,90256,91066
11,New York,1335695,108235,108404,110449
12,Rhode Island,109735,5813,5762,5661
13,Georgia,866911,60696,61957,62941
14,New Hampshire,62337,5701,6031,6299
15,North Carolina,718812,51881,53701,56026
16,New Jersey,662808,39727,38668,38021
17,Colorado,386285,12247,11421,10676
18,Maryland,341452,17787,17043,17008
19,Nevada,270907,10395,9264,8471
20,Tennessee,708717,26757,24143,22230
21,Hawaii,25379,944,938,983
22,Indiana,611039,22624,20484,18814
23,Kentucky,346138,23819,24619,25508
24,Minnesota,454989,8599,7877,7090
25,Oklahoma,373090,21110,20387,19959
26,Pennsylvania,807102,40211,36562,33674
27,South Carolina,418325,35614,36731,39205
28,District of Columbia,35301,1829,1727,1756
29,Kansas,268908,11553,10863,10452
30,Missouri,461912,12574,11680,10890
31,Vermont,11033,1304,1433,1629
32,Virginia,472447,41867,43125,47070
33,Connecticut,237815,15021,14438,14586
34,Iowa,313137,7858,7635,7176
35,Louisiana,383862,17838,16611,16905
36,Ohio,864322,42560,39501,37398
37,Michigan,596746,15911,14715,13514
38,South Dakota,107148,1663,1439,1253
39,Arkansas,284066,14750,14094,13558
40,Delaware,74575,4926,4854,4827
41,Mississippi,264219,13332,13048,12811
42,New Mexico,169205,6066,5424,4993
43,North Dakota,96817,907,805,690
44,Wyoming,50898,1773,1561,1581
45,Alaska,53315,1557,1486,1421
46,Maine,36598,4678,5049,5637
47,Alabama,441170,19760,19351,18183
48,Idaho,159506,4758,4306,4069
49,Montana,91652,2639,2525,2473
50,Puerto Rico,91028,NaN,NaN,NaN
51,Virgin Islands,2341,NaN,NaN,NaN
52,Guam,7547,NaN,NaN,NaN
53,West Virginia,115307,7720,7541,7526
54,Northern Mariana Islands,129,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
