,State,221,227,234,241
0,Washington,74320,2914,2441,1896
1,Illinois,235058,14684,14839,14990
2,California,705951,31835,24606,18282
3,Arizona,201661,2683,1887,1255
4,Massachusetts,120568,2624,2881,2934
5,Wisconsin,75337,4742,4460,3933
6,Texas,629570,31478,26675,20500
7,Nebraska,34046,2033,2331,2465
8,Utah,51854,2609,2662,2647
9,Oregon,26554,1412,1202,978
10,Florida,621586,16523,11563,7983
11,New York,434100,4161,4085,3913
12,Rhode Island,21683,641,582,533
13,Georgia,268973,13609,11217,8676
14,New Hampshire,7254,141,147,146
15,North Carolina,171487,13227,15602,18499
16,New Jersey,191611,1935,1874,1730
17,Colorado,57203,1982,1818,1564
18,Maryland,107791,3319,2853,2299
19,Nevada,68908,2849,2136,1486
20,Tennessee,153115,9040,8014,6543
21,Hawaii,8339,2218,2558,2834
22,Indiana,93313,7239,7603,7738
23,Kentucky,48031,4913,5155,5069
24,Minnesota,75189,5738,6510,7105
25,Oklahoma,58119,5088,5050,4766
26,Pennsylvania,138134,4281,4050,3637
27,South Carolina,118324,5876,6087,5973
28,District of Columbia,13959,367,351,313
29,Kansas,41761,4977,5711,6598
30,Missouri,84474,8581,8751,8256
31,Vermont,1616,58,68,75
32,Virginia,119729,6666,6611,6225
33,Connecticut,52495,1007,1182,1396
34,Iowa,64599,9158,12729,16054
35,Louisiana,147867,2885,1860,1173
36,Ohio,122260,7203,7412,7190
37,Michigan,112526,4655,4139,3683
38,South Dakota,13322,2279,3281,4246
39,Arkansas,60856,4856,5618,6372
40,Delaware,17343,521,598,583
41,Mississippi,82676,4675,3957,3340
42,New Mexico,25283,836,721,605
43,North Dakota,11702,2400,3244,4196
44,Wyoming,3829,261,240,218
45,Alaska,5226,510,495,446
46,Maine,4514,239,329,451
47,Alabama,125235,9636,11130,11970
48,Idaho,31858,1672,1312,924
49,Montana,7340,972,1047,1027
50,Puerto Rico,32848,NaN,NaN,NaN
51,Virgin Islands,1129,NaN,NaN,NaN
52,Guam,1287,NaN,NaN,NaN
53,West Virginia,10109,753,744,653
54,Northern Mariana Islands,56,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN
