,County,236,241,248,255,262,269,276,283
0,01001,1447,48,43,41,39,36,33,31
1,01003,4800,195,188,180,175,166,158,154
2,01005,626,2,0,0,0,0,0,0
3,01007,581,9,8,7,6,6,5,4
4,01009,1128,41,38,36,35,33,31,29
5,01011,558,9,3,2,2,2,1,1
6,01013,867,2,1,0,0,0,0,0
7,01015,2790,196,161,143,127,111,96,84
8,01017,864,1,1,1,0,0,0,0
9,01019,407,41,30,27,25,23,20,18
10,01021,1251,61,59,58,56,54,50,49
11,01023,331,4,1,0,0,0,0,0
12,01025,936,0,0,0,0,0,0,0
13,01027,443,32,18,15,12,10,8,6
14,01029,285,39,32,31,29,27,25,21
15,01031,1047,51,51,48,46,44,41,38
16,01033,1515,21,15,13,11,9,7,6
17,01035,444,2,1,0,0,0,0,0
18,01037,117,4,1,1,1,1,0,0
19,01039,845,14,10,9,8,7,6,6
20,01041,421,9,5,4,3,3,2,2
21,01043,1528,38,15,10,6,3,2,1
22,01045,1094,40,40,38,36,32,30,28
23,01047,1475,12,10,8,6,5,4,3
24,01049,2159,40,30,28,25,23,21,20
25,01051,2223,78,59,55,50,46,42,38
26,01053,1302,32,17,13,10,7,5,4
27,01055,2899,116,91,84,77,70,63,57
28,01057,357,36,30,32,34,36,36,38
29,01059,1662,55,35,30,26,22,18,15
30,01061,424,13,5,3,2,1,0,0
31,01063,282,0,0,0,0,0,0,0
32,01065,556,8,2,2,1,0,0,0
33,01067,362,8,5,4,2,1,1,0
34,01069,2016,80,67,55,46,38,30,24
35,01071,1366,30,23,20,18,16,14,12
36,01073,17484,802,743,694,652,605,557,510
37,01075,295,6,3,3,2,2,2,2
38,01077,1530,39,32,29,27,24,21,19
39,01079,534,16,16,15,15,15,14,14
40,01081,3622,89,77,73,68,63,60,55
41,01083,1807,85,72,68,62,57,53,48
42,01085,606,0,0,0,0,0,0,0
43,01087,421,2,1,0,0,0,0,0
44,01089,6880,263,231,222,212,201,189,178
45,01091,662,8,4,3,3,2,2,1
46,01093,787,29,25,25,25,24,23,23
47,01095,3554,23,16,14,12,11,10,8
48,01097,12559,254,229,212,199,188,175,164
49,01099,445,1,0,0,0,0,0,0
50,01101,8188,208,145,112,87,65,49,37
51,01103,2972,63,40,30,22,16,12,8
52,01105,489,2,0,0,0,0,0,0
53,01107,569,12,10,10,9,8,8,7
54,01109,883,17,10,6,3,2,1,0
55,01111,506,5,2,2,1,1,1,0
56,01113,1578,4,4,3,2,2,1,1
57,01115,1834,116,96,89,84,79,73,67
58,01117,4680,325,290,273,260,241,225,206
59,01119,405,1,0,0,0,0,0,0
60,01121,1371,48,34,29,24,20,17,14
61,01123,958,8,6,5,5,5,4,4
62,01125,5618,249,197,180,165,148,134,120
63,01127,2039,73,40,29,20,14,10,7
64,01129,509,1,0,0,0,0,0,0
65,01131,480,1,0,0,0,0,0,0
66,01133,626,36,27,27,26,25,23,22
67,02013,2,,,,,,,NaN
68,02016,7,,,,,,,NaN
69,02020,3591,240,203,164,129,99,78,59
70,02050,80,0,0,0,0,0,0,0
71,02060,10,0,0,0,0,0,0,0
72,02068,2,,,,,,,NaN
73,02070,6,0,0,0,0,0,0,0
74,02090,884,128,143,156,168,178,187,192
75,02100,4,,,,,,,NaN
76,02105,0,,,,,,,NaN
77,02110,240,34,28,22,17,12,8,5
78,02122,426,0,0,0,0,0,0,0
79,02130,48,0,0,0,0,0,0,0
80,02150,19,0,0,0,0,0,0,0
81,02158,9,,,,,,,NaN
82,02164,0,,,,,,,NaN
83,02170,544,20,14,13,12,11,9,8
84,02180,50,0,0,0,0,0,0,0
85,02185,63,1,0,0,0,0,0,0
86,02188,74,1,0,0,0,0,0,0
87,02195,7,0,0,0,0,0,0,0
88,02198,30,1,0,0,0,0,0,0
89,02220,40,0,0,0,0,0,0,0
90,02230,0,,,,,,,NaN
91,02240,21,0,0,0,0,0,0,0
92,02261,75,0,0,0,0,0,0,0
93,02275,12,,,,,,,NaN
94,02282,21,,,,,,,NaN
95,02290,76,1,0,0,0,0,0,0
96,04001,3386,7,4,2,1,0,0,0
97,04003,1860,6,4,2,1,0,0,0
98,04005,3553,195,147,133,120,109,98,87
99,04007,1168,21,21,19,17,16,14,13
100,04009,774,3,2,2,1,1,1,0
101,04011,58,0,0,0,0,0,0,0
102,04012,526,1,0,0,0,0,0,0
103,04013,137589,1577,1414,1247,1110,982,879,780
104,04015,3792,14,10,7,5,3,2,1
105,04017,5694,16,13,11,9,8,6,5
106,04019,22511,404,350,302,261,224,192,164
107,04021,10187,169,173,159,153,143,133,124
108,04023,2785,2,1,0,0,0,0,0
109,04025,2427,37,35,32,29,27,25,22
110,04027,12415,53,21,11,6,3,1,0
111,05001,316,8,5,4,3,2,1,1
112,05003,403,4,2,2,1,1,1,1
113,05005,212,44,36,29,22,15,10,6
114,05007,5862,169,125,83,55,36,22,14
115,05009,533,160,134,140,144,137,130,121
116,05011,321,2,1,0,0,0,0,0
117,05013,29,,,,,,,NaN
118,05015,555,29,26,22,18,15,12,10
119,05017,976,1,0,0,0,0,0,0
120,05019,283,6,3,1,1,0,0,0
121,05021,236,11,13,13,13,13,12,12
122,05023,295,16,19,18,17,16,15,14
123,05025,161,9,5,3,1,1,0,0
124,05027,345,11,10,9,8,7,7,6
