,County,719,724,731,738,745,752,759,766
0,01001,NaN,1576,2255,1761,984,463,198,82
1,01003,NaN,5561,8847,7484,4347,2102,914,382
2,01005,NaN,737,1034,756,421,206,95,42
3,01007,NaN,612,916,719,401,188,80,33
4,01009,NaN,837,1496,1775,1348,829,450,221
5,01011,NaN,269,375,303,179,93,44,20
6,01013,NaN,563,733,540,306,155,73,33
7,01015,NaN,2195,2484,1641,876,419,191,84
8,01017,NaN,989,1270,937,528,262,121,54
9,01019,NaN,349,678,840,655,411,229,116
10,01021,NaN,751,1385,1547,1077,616,304,139
11,01023,NaN,252,475,479,309,166,78,35
12,01025,NaN,473,695,640,421,243,129,65
13,01027,NaN,314,406,331,206,116,61,30
14,01029,NaN,230,473,554,381,209,96,41
15,01031,NaN,1039,1792,1781,1148,617,290,129
16,01033,NaN,1371,1916,1562,946,511,256,123
17,01035,NaN,384,526,369,196,91,39,16
18,01037,NaN,275,341,269,164,90,46,22
19,01039,NaN,446,828,1050,859,555,323,169
20,01041,NaN,485,594,390,196,86,35,14
21,01043,NaN,1495,2342,2400,1678,1000,540,270
22,01045,NaN,924,1508,1505,1008,581,300,146
23,01047,NaN,1007,1463,1156,674,346,164,75
24,01049,NaN,825,1527,2005,1726,1146,686,370
25,01051,NaN,1644,2533,2437,1605,908,460,218
26,01053,NaN,1259,1561,1039,535,242,103,43
27,01055,NaN,1918,3218,3177,2096,1185,598,284
28,01057,NaN,228,443,527,385,228,116,55
29,01059,NaN,396,668,806,662,434,262,145
30,01061,NaN,278,627,907,747,465,241,111
31,01063,NaN,127,232,253,178,105,56,27
32,01065,NaN,435,579,420,226,105,45,18
33,01067,NaN,249,455,532,394,239,127,62
34,01069,NaN,1672,2983,3346,2407,1451,777,385
35,01071,NaN,614,1032,1259,1073,721,446,256
36,01073,NaN,16993,18591,13012,7379,3813,1867,889
37,01075,NaN,115,261,410,384,258,151,77
38,01077,NaN,2014,3259,3011,1904,1033,501,229
39,01079,NaN,642,1195,1218,780,406,184,78
40,01081,NaN,4279,6500,5440,3237,1645,759,337
41,01083,NaN,2224,3676,3411,2111,1088,496,214
42,01085,NaN,331,382,253,134,64,29,12
43,01087,NaN,520,685,527,314,167,82,39
44,01089,NaN,9107,13492,11782,7320,3996,1980,935
45,01091,NaN,359,605,590,385,217,110,53
46,01093,NaN,275,471,624,605,446,294,184
47,01095,NaN,1378,2191,2456,1912,1229,731,406
48,01097,NaN,13707,16181,10694,5531,2524,1085,455
49,01099,NaN,683,862,598,322,152,67,29
50,01101,NaN,5531,4362,2448,1236,593,277,128
51,01103,NaN,2564,3752,3396,2183,1232,637,312
52,01105,NaN,209,301,260,164,92,47,23
53,01107,NaN,398,654,635,415,234,117,55
54,01109,NaN,700,1045,948,628,369,202,105
55,01111,NaN,626,880,698,405,205,94,42
56,01113,NaN,1066,2076,2259,1497,802,367,160
57,01115,NaN,2310,3399,2805,1636,809,361,154
58,01117,NaN,5504,7954,6743,4050,2090,969,428
59,01119,NaN,329,518,427,254,131,61,27
60,01121,NaN,2073,2737,2160,1300,704,356,173
61,01123,NaN,1274,1512,1062,587,289,133,59
62,01125,NaN,4581,5704,4037,2246,1118,520,234
63,01127,NaN,938,1540,1722,1308,823,475,253
64,01129,NaN,271,530,584,397,222,107,49
65,01131,NaN,244,353,301,186,102,51,25
66,01133,NaN,358,581,621,457,285,163,88
67,02013,NaN,17,40,77,108,115,93,67
68,02016,NaN,110,186,222,193,135,86,52
69,02020,NaN,8028,13675,14504,9986,5700,2828,1310
70,02050,NaN,153,251,370,451,436,334,229
71,02060,NaN,0,0,2,8,23,45,46
72,02068,NaN,7,21,52,93,101,76,49
73,02070,NaN,56,117,193,223,172,112,62
74,02090,NaN,1040,2021,3230,3815,3185,2201,1404
75,02100,NaN,59,110,130,100,62,34,17
76,02105,NaN,1,6,25,70,122,116,83
77,02110,NaN,888,1623,1819,1289,752,379,177
78,02122,NaN,353,745,1368,1995,2057,1543,1051
79,02130,NaN,124,275,498,627,519,354,213
80,02150,NaN,285,489,595,484,311,179,93
81,02158,NaN,143,234,301,282,199,124,70
82,02164,NaN,27,40,48,44,31,20,12
83,02170,NaN,755,1430,2414,3315,3458,2715,1901
84,02180,NaN,176,316,430,400,274,165,88
85,02185,NaN,129,222,310,323,248,164,101
86,02188,NaN,133,210,262,241,169,106,61
87,02195,NaN,16,40,86,135,138,102,66
88,02198,NaN,101,219,332,307,205,118,58
89,02220,NaN,207,360,420,323,202,113,57
90,02230,NaN,5,13,32,53,56,42,27
91,02240,NaN,73,155,261,304,237,156,90
92,02261,NaN,8,49,177,443,628,506,320
93,02275,NaN,42,90,129,114,75,42,21
