,County,207,213,220,227,234,241
0,01001,1218,71,64,56,50,45
1,01003,3877,459,457,440,420,392
2,01005,604,28,25,23,20,17
3,01007,469,51,48,45,42,37
4,01009,860,134,126,116,103,91
5,01011,496,13,11,10,8,7
6,01013,792,13,11,9,8,7
7,01015,1919,363,351,333,301,271
8,01017,854,39,36,32,30,27
9,01019,302,48,46,44,41,37
10,01021,859,111,102,95,85,75
11,01023,293,13,12,11,10,8
12,01025,833,55,50,44,40,35
13,01027,301,32,31,29,27,24
14,01029,133,17,18,18,18,17
15,01031,812,71,67,63,59,54
16,01033,1272,116,105,94,83,72
17,01035,403,24,21,19,16,14
18,01037,106,12,11,11,11,9
19,01039,773,90,84,75,67,57
20,01041,349,22,21,19,17,15
21,01043,1274,168,162,153,142,127
22,01045,879,81,76,69,63,57
23,01047,1363,59,51,44,37,30
24,01049,1896,144,133,120,109,96
25,01051,1826,117,105,94,83,73
26,01053,1113,109,97,84,72,62
27,01055,2263,257,241,223,203,184
28,01057,241,39,38,35,33,30
29,01059,1351,28,24,21,18,16
30,01061,283,48,47,45,41,38
31,01063,258,8,7,7,6,5
32,01065,495,17,14,12,10,9
33,01067,275,24,23,21,19,17
34,01069,1519,154,150,143,134,124
35,01071,1124,152,144,133,120,107
36,01073,13988,1212,1132,1043,950,855
37,01075,240,28,25,23,20,18
38,01077,1238,166,157,147,136,124
39,01079,370,59,58,55,52,47
40,01081,2776,234,226,213,197,181
41,01083,1449,149,140,129,116,104
42,01085,578,7,6,5,4,3
43,01087,346,28,26,24,22,19
44,01089,5687,609,598,581,555,528
45,01091,585,27,24,21,19,17
46,01093,606,59,54,51,48,43
47,01095,3233,175,156,136,119,104
48,01097,11022,870,802,728,658,587
49,01099,432,42,39,36,32,28
50,01101,7152,234,202,171,148,127
51,01103,2502,202,185,168,151,132
52,01105,456,21,17,13,11,9
53,01107,436,32,30,27,26,22
54,01109,723,35,31,28,24,21
55,01111,409,29,29,27,26,24
56,01113,1407,80,71,64,56,50
57,01115,1412,164,158,148,141,127
58,01117,3495,394,374,353,323,293
59,01119,374,4,4,3,3,2
60,01121,1133,212,201,187,170,153
61,01123,887,52,49,46,42,37
62,01125,4449,260,238,212,189,169
63,01127,1618,96,89,81,72,65
64,01129,465,44,41,37,33,29
65,01131,449,11,10,9,7,6
66,01133,477,37,34,32,29,26
67,02013,2,1,2,2,3,3
68,02016,5,3,4,5,7,7
69,02020,2461,605,640,661,668,655
70,02050,31,3,3,3,3,3
71,02060,11,0,0,0,0,0
72,02068,1,0,0,0,0,0
73,02070,4,2,3,5,8,10
74,02090,491,97,104,108,109,110
75,02100,5,1,0,0,0,0
76,02105,0,2,3,3,3,2
77,02110,147,32,33,33,32,32
78,02122,364,66,69,72,72,72
79,02130,39,1,1,1,1,1
80,02150,11,1,1,1,1,1
81,02158,8,,,,,NaN
82,02164,0,3,4,3,2,2
83,02170,379,124,133,136,138,135
84,02180,24,0,1,0,0,0
85,02185,23,3,3,3,3,4
86,02188,45,4,4,4,4,3
87,02195,7,0,0,0,0,0
88,02198,15,2,2,1,2,2
