,County,179,185,192,199,206,213
0,01001,823,165,163,152,136,118
1,01003,1914,338,369,386,384,368
2,01005,472,63,66,63,60,53
3,01007,265,49,53,56,56,53
4,01009,441,74,93,106,113,113
5,01011,393,14,13,12,10,9
6,01013,679,21,18,16,14,11
7,01015,768,87,109,133,149,157
8,01017,734,40,40,39,37,34
9,01019,166,33,37,39,39,37
10,01021,463,84,95,98,96,88
11,01023,237,12,12,13,12,12
12,01025,383,52,52,52,49,45
13,01027,117,16,18,19,19,18
14,01029,79,12,13,13,13,14
15,01031,531,83,92,97,97,94
16,01033,728,126,138,139,132,122
17,01035,284,56,53,47,40,34
18,01037,71,6,7,7,7,7
19,01039,535,160,156,145,128,110
20,01041,156,11,11,12,11,11
21,01043,808,206,233,247,245,228
22,01045,512,120,134,141,140,132
23,01047,1117,119,118,110,98,83
24,01049,1292,89,100,109,113,112
25,01051,1245,205,205,197,182,163
26,01053,613,147,147,140,129,117
27,01055,1307,196,219,228,228,219
28,01057,119,27,29,30,31,30
29,01059,1020,58,54,49,43,37
30,01061,143,37,43,46,47,46
31,01063,220,15,14,14,12,11
32,01065,397,24,21,18,16,13
33,01067,189,19,21,21,20,20
34,01069,834,155,179,191,196,195
35,01071,561,92,105,114,114,112
36,01073,8640,1256,1273,1241,1163,1062
37,01075,129,26,26,26,25,23
38,01077,748,162,180,193,195,193
39,01079,184,43,50,58,63,66
40,01081,1993,123,136,145,147,142
41,01083,844,169,189,198,191,178
42,01085,512,18,14,11,9,7
43,01087,254,41,41,40,38,35
44,01089,3462,538,633,697,717,691
45,01091,419,28,28,27,25,22
46,01093,418,59,62,62,59,53
47,01095,2335,312,316,304,278,245
48,01097,6017,447,474,480,469,444
49,01099,312,59,60,58,55,50
50,01101,5057,360,333,300,266,231
51,01103,1664,280,314,330,326,307
52,01105,320,49,45,38,33,26
53,01107,302,31,32,32,30,28
54,01109,537,44,45,45,43,42
55,01111,317,33,35,35,33,31
56,01113,909,75,84,90,88,84
57,01115,790,124,142,155,155,150
58,01117,2208,206,232,251,262,268
59,01119,317,6,6,5,5,4
60,01121,580,123,136,141,144,139
61,01123,696,37,39,40,38,35
62,01125,3152,321,314,297,273,246
63,01127,1237,267,243,211,175,143
64,01129,208,22,22,23,22,21
65,01131,345,17,17,15,14,12
66,01133,343,63,66,66,65,59
67,02013,0,2,2,5,7,8
68,02016,1,12,16,22,23,21
69,02020,910,143,196,249,299,334
70,02050,16,0,0,0,0,0
71,02060,5,5,5,6,5,4
72,02068,0,1,2,3,3,3
73,02070,1,19,22,23,20,16
74,02090,308,48,63,80,92,95
75,02100,3,3,3,3,3,3
76,02105,0,0,1,2,2,3
77,02110,62,14,17,19,21,23
78,02122,240,49,60,68,72,74
79,02130,25,0,0,0,0,0
80,02150,5,6,5,5,5,5
81,02158,3,,,,,NaN
82,02164,0,0,0,0,0,0
83,02170,183,91,114,135,153,166
84,02180,16,0,0,0,0,0
85,02185,6,1,1,1,1,1
86,02188,8,1,1,1,1,1
87,02195,6,1,1,1,1,1
88,02198,2,1,1,1,1,1
89,02220,15,0,0,0,0,0
90,02230,0,0,0,0,0,0
91,02240,11,0,0,0,0,0
92,02261,17,0,0,0,0,0
93,02275,3,4,3,3,3,3
94,02282,0,0,0,0,0,0
95,02290,29,0,1,1,1,1
96,04001,2741,104,99,88,76,61
97,04003,1258,412,411,396,362,310
98,04005,2664,110,115,125,134,139
99,04007,570,192,208,203,177,141
100,04009,292,57,68,75,72,66
101,04011,40,8,12,15,17,17
102,04012,435,49,50,50,48,43
103,04013,95471,5984,5650,5407,5143,4787
104,04015,2269,472,546,564,520,452
105,04017,4801,190,181,174,163,146
106,04019,13449,2109,2407,2587,2587,2379
107,04021,6654,751,745,709,644,571
108,04023,2305,139,117,98,82,66
109,04025,1375,441,493,530,532,493
110,04027,9300,656,540,415,300,213
111,05001,113,44,58,67,72,69
112,05003,134,38,46,50,50,46
113,05005,44,18,29,40,49,52
114,05007,3832,462,521,545,523,472
115,05009,76,31,48,64,75,84
116,05011,97,15,19,23,24,23
117,05013,5,4,6,8,10,10
118,05015,270,61,69,74,71,65
119,05017,257,32,31,30,27,24
120,05019,97,11,14,16,18,19
121,05021,89,17,21,25,27,29
122,05023,154,7,10,13,15,16
123,05025,41,5,7,8,9,10
124,05027,134,36,44,47,47,46
125,05029,113,36,44,47,44,40
126,05031,710,133,161,181,189,181
127,05033,353,114,145,171,189,192
128,05035,944,89,102,105,102,95
129,05037,115,16,20,25,30,33
130,05039,20,4,5,6,6,6
131,05041,102,22,25,27,28,26
132,05043,113,28,34,39,43,43
133,05045,905,120,164,195,205,200
134,05047,41,8,11,15,20,23
135,05049,20,4,7,8,10,11
136,05051,473,133,160,177,185,188
137,05053,79,20,24,27,28,28
138,05055,171,36,49,62,70,74
139,05057,122,43,55,61,61,57
140,05059,1349,84,96,100,95,83
141,05061,169,27,27,26,24,22
142,05063,110,26,33,41,47,50
143,05065,28,7,10,13,17,19
144,05067,46,8,10,13,16,18
145,05069,1023,93,109,125,137,143
146,05071,485,70,78,83,81,75
147,05073,37,10,12,14,15,14
148,05075,135,19,25,28,29,28
149,05077,861,37,35,30,26,21
150,05079,1119,11,13,16,16,16
151,05081,63,12,18,23,28,30
152,05083,103,36,46,54,59,61
153,05085,257,72,97,113,122,124
154,05087,229,13,14,16,18,20
155,05089,15,4,5,6,9,10
156,05091,336,75,94,107,109,102
157,05093,421,110,136,148,144,131
158,05095,33,8,10,13,15,16
159,05097,14,4,6,7,9,9
160,05099,117,12,15,17,18,18
161,05101,16,3,4,5,6,7
162,05103,49,13,20,28,35,38
163,05105,40,6,7,9,9,10
164,05107,208,47,52,54,52,47
165,05109,32,7,11,16,19,19
