,State,270,276
0,Washington,2239,42
1,Illinois,9474,223
2,California,16979,396
3,Arizona,5827,55
4,Massachusetts,9737,177
5,Wisconsin,1574,195
6,Texas,17465,489
7,Nebraska,548,36
8,Utah,543,44
9,Oregon,620,30
10,Florida,15967,480
11,New York,33357,126
12,Rhode Island,1152,21
13,Georgia,7638,189
14,New Hampshire,466,14
15,North Carolina,3934,180
16,New Jersey,16211,28
17,Colorado,2176,63
18,Maryland,4037,45
19,Nevada,1710,83
20,Tennessee,2909,114
21,Hawaii,187,12
22,Indiana,3937,162
23,Kentucky,1318,65
24,Minnesota,2287,86
25,Oklahoma,1171,81
26,Pennsylvania,8465,113
27,South Carolina,3650,62
28,District of Columbia,641,7
29,Kansas,859,102
30,Missouri,2592,408
31,Vermont,58,0
32,Virginia,3433,51
33,Connecticut,4542,12
34,Iowa,1532,56
35,Louisiana,5750,116
36,Ohio,5067,75
37,Michigan,7340,155
38,South Dakota,323,36
39,Arkansas,1704,121
40,Delaware,665,24
41,Mississippi,3171,81
42,New Mexico,934,23
43,North Dakota,404,92
44,Wyoming,57,0
45,Alaska,67,4
46,Maine,146,2
47,Alabama,2788,118
48,Idaho,528,13
49,Montana,241,35
50,Puerto Rico,766,5
51,Virgin Islands,21,0
52,Guam,63,8
53,West Virginia,402,12
54,Northern Mariana Islands,2,0
55,American Samoa,0,NaN
