,State,200,206,213,220,227,234
0,Washington,1688,105,133,171,213,247
1,Illinois,7845,174,209,252,295,333
2,California,10377,1054,1270,1525,1758,1902
3,Arizona,4150,290,290,287,277,261
4,Massachusetts,8735,76,90,113,142,170
5,Wisconsin,998,121,147,176,198,217
6,Texas,9157,1042,1201,1320,1371,1358
7,Nebraska,345,31,39,45,52,54
8,Utah,336,69,83,97,107,114
9,Oregon,356,77,92,103,115,122
10,Florida,8186,1011,1129,1207,1226,1181
11,New York,32755,158,173,217,299,408
12,Rhode Island,1014,2,4,7,11,16
13,Georgia,4199,324,375,425,458,467
14,New Hampshire,419,7,9,10,13,16
15,North Carolina,2192,349,379,398,404,398
16,New Jersey,15874,60,63,67,72,76
17,Colorado,1858,61,81,108,141,172
18,Maryland,3585,88,92,94,95,94
19,Nevada,957,116,127,141,153,156
20,Tennessee,1223,245,268,283,288,284
21,Hawaii,31,11,17,22,27,29
22,Indiana,3041,119,137,154,168,177
23,Kentucky,773,90,105,111,131,157
24,Minnesota,1698,78,92,105,115,119
25,Oklahoma,603,126,148,164,176,184
26,Pennsylvania,7311,161,186,243,324,415
27,South Carolina,2031,269,271,261,249,230
28,District of Columbia,591,5,6,6,7,7
29,Kansas,380,60,71,83,91,98
30,Missouri,1334,110,134,158,180,195
31,Vermont,58,1,2,3,4,5
32,Virginia,2326,162,202,249,293,330
33,Connecticut,4441,20,22,25,28,31
34,Iowa,931,72,81,90,96,98
35,Louisiana,4263,189,207,232,252,259
36,Ohio,3669,256,305,355,402,432
37,Michigan,6519,118,155,209,270,331
38,South Dakota,146,14,13,12,12,11
39,Arkansas,544,115,132,143,148,147
40,Delaware,591,13,13,14,15,14
41,Mississippi,1896,163,168,169,165,154
42,New Mexico,685,53,61,76,92,104
43,North Dakota,112,19,22,22,23,24
44,Wyoming,28,8,9,12,13,14
45,Alaska,26,13,16,18,21,23
46,Maine,125,5,6,8,10,13
47,Alabama,1768,233,242,243,237,226
48,Idaho,237,82,100,114,118,116
49,Montana,75,24,30,33,36,37
50,Puerto Rico,279,11,12,15,17,18
51,Virgin Islands,9,0,0,1,1,1
52,Guam,5,0,0,0,0,0
53,West Virginia,139,19,25,34,44,54
54,Northern Mariana Islands,2,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
