,State,207,213,220,227,234,241
0,Washington,1781,116,143,177,208,235
1,Illinois,7955,174,205,239,272,297
2,California,11243,1111,1316,1531,1688,1756
3,Arizona,4506,245,240,233,228,213
4,Massachusetts,8838,46,49,54,59,65
5,Wisconsin,1039,131,153,174,191,200
6,Texas,10396,1187,1302,1370,1387,1337
7,Nebraska,361,34,39,44,48,51
8,Utah,363,63,71,79,85,89
9,Oregon,388,81,92,104,112,119
10,Florida,9452,1056,1135,1178,1175,1125
11,New York,32816,147,177,229,301,384
12,Rhode Island,1021,4,6,9,13,17
13,Georgia,4702,373,423,468,486,487
14,New Hampshire,423,7,8,10,11,14
15,North Carolina,2347,342,363,367,365,354
16,New Jersey,15912,55,60,64,69,72
17,Colorado,1896,67,82,101,120,136
18,Maryland,3639,75,76,77,78,76
19,Nevada,1072,118,130,140,143,137
20,Tennessee,1366,251,264,270,271,259
21,Hawaii,40,17,25,32,40,46
22,Indiana,3133,132,147,161,168,171
23,Kentucky,810,94,97,111,139,167
24,Minnesota,1752,87,97,106,111,114
25,Oklahoma,661,139,158,169,174,174
26,Pennsylvania,7453,176,217,284,364,438
27,South Carolina,2269,280,271,258,237,216
28,District of Columbia,597,5,5,5,6,6
29,Kansas,406,67,77,84,90,92
30,Missouri,1383,114,133,155,168,178
31,Vermont,58,2,3,4,4,6
32,Virginia,2381,150,181,212,241,263
33,Connecticut,4453,18,20,22,24,27
34,Iowa,975,76,83,88,91,91
35,Louisiana,4507,166,178,194,205,208
36,Ohio,3826,266,302,337,364,382
37,Michigan,6592,124,158,200,249,288
38,South Dakota,153,13,12,12,11,10
39,Arkansas,599,103,113,120,124,121
40,Delaware,593,9,9,9,9,10
41,Mississippi,2084,159,161,155,148,136
42,New Mexico,714,42,49,58,70,80
43,North Dakota,125,20,21,22,22,23
44,Wyoming,30,7,9,10,11,12
45,Alaska,28,15,17,19,21,22
46,Maine,127,5,6,8,9,11
47,Alabama,1898,208,210,206,198,185
48,Idaho,269,83,96,104,108,105
49,Montana,82,23,27,30,32,32
50,Puerto Rico,335,14,16,19,21,21
51,Virgin Islands,9,0,0,1,1,1
52,Guam,5,0,0,0,0,0
53,West Virginia,160,22,28,37,47,55
54,Northern Mariana Islands,2,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
