,State,326,332,339
0,Washington,2879,142,195
1,Illinois,15339,1080,1032
2,California,21040,1399,1572
3,Arizona,7357,465,483
4,Massachusetts,11349,396,396
5,Wisconsin,4339,413,415
6,Texas,24400,1146,1209
7,Nebraska,1373,158,159
8,Utah,1055,95,113
9,Oregon,1155,132,144
10,Florida,19866,737,767
11,New York,35620,638,699
12,Rhode Island,1509,85,100
13,Georgia,10076,384,450
14,New Hampshire,603,56,68
15,North Carolina,5823,434,495
16,New Jersey,17751,456,471
17,Colorado,3958,455,435
18,Maryland,5117,285,291
19,Nevada,2539,215,206
20,Tennessee,5462,570,592
21,Hawaii,274,10,11
22,Indiana,6805,586,615
23,Kentucky,2207,225,258
24,Minnesota,4503,449,439
25,Oklahoma,2064,216,254
26,Pennsylvania,12490,1133,1107
27,South Carolina,4739,219,250
28,District of Columbia,715,22,24
29,Kansas,2072,250,272
30,Missouri,4609,335,349
31,Vermont,95,17,18
32,Virginia,4411,273,326
33,Connecticut,5363,234,240
34,Iowa,3209,360,342
35,Louisiana,6818,221,227
36,Ohio,7492,731,865
37,Michigan,11195,762,710
38,South Dakota,1259,123,115
39,Arkansas,2945,267,264
40,Delaware,816,58,63
41,Mississippi,4199,217,222
42,New Mexico,1957,157,160
43,North Dakota,1152,107,99
44,Wyoming,321,60,57
45,Alaska,176,46,48
46,Maine,257,35,35
47,Alabama,4102,296,323
48,Idaho,1175,147,158
49,Montana,818,96,108
50,Puerto Rico,1272,NaN,NaN
51,Virgin Islands,23,NaN,NaN
52,Guam,115,NaN,NaN
53,West Virginia,968,154,159
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
