,State,354,360,367
0,Washington,3698,322,363
1,Illinois,19293,1021,1052
2,California,30004,3411,3653
3,Arizona,10141,987,991
4,Massachusetts,13151,595,579
5,Wisconsin,5570,389,435
6,Texas,30479,2267,2538
7,Nebraska,1760,107,129
8,Utah,1392,95,110
9,Oregon,1604,145,174
10,Florida,22912,1235,1389
11,New York,39632,1409,1520
12,Rhode Island,1916,129,130
13,Georgia,11458,685,824
14,New Hampshire,869,96,101
15,North Carolina,7567,720,844
16,New Jersey,19854,696,704
17,Colorado,5208,324,366
18,Maryland,6272,314,327
19,Nevada,3467,319,335
20,Tennessee,7785,748,782
21,Hawaii,308,25,29
22,Indiana,8985,585,626
23,Kentucky,2901,330,426
24,Minnesota,5775,308,322
25,Oklahoma,2761,339,426
26,Pennsylvania,17717,1411,1417
27,South Carolina,5811,464,531
28,District of Columbia,817,21,21
29,Kansas,3141,233,264
30,Missouri,6133,413,459
31,Vermont,156,21,25
32,Virginia,5383,403,486
33,Connecticut,6324,232,231
34,Iowa,4138,233,265
35,Louisiana,7873,408,458
36,Ohio,9627,737,838
37,Michigan,14145,814,849
38,South Dakota,1585,65,81
39,Arkansas,4043,332,383
40,Delaware,972,51,61
41,Mississippi,5167,341,368
42,New Mexico,2749,206,212
43,North Dakota,1352,40,45
44,Wyoming,489,49,52
45,Alaska,224,26,39
46,Maine,432,67,72
47,Alabama,5334,436,463
48,Idaho,1534,109,120
49,Montana,1056,96,125
50,Puerto Rico,1630,NaN,NaN
51,Virgin Islands,24,NaN,NaN
52,Guam,124,NaN,NaN
53,West Virginia,1582,210,231
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
