,State,299,304,311,318
0,Washington,2548,75,70,66
1,Illinois,11204,870,972,992
2,California,18288,367,405,417
3,Arizona,6302,180,132,114
4,Massachusetts,10340,184,156,121
5,Wisconsin,2764,192,213,186
6,Texas,20032,675,636,571
7,Nebraska,797,109,125,129
8,Utah,723,88,119,135
9,Oregon,765,35,34,32
10,Florida,17559,459,469,464
11,New York,34054,49,49,49
12,Rhode Island,1270,20,17,15
13,Georgia,8967,450,554,593
14,New Hampshire,500,14,12,10
15,North Carolina,4814,161,181,189
16,New Jersey,16580,200,209,174
17,Colorado,2578,224,278,299
18,Maryland,4309,132,160,153
19,Nevada,1917,73,73,70
20,Tennessee,3923,387,475,526
21,Hawaii,222,0,0,0
22,Indiana,4936,341,352,332
23,Kentucky,1664,138,155,158
24,Minnesota,2973,313,335,324
25,Oklahoma,1538,94,92,91
26,Pennsylvania,9310,247,214,183
27,South Carolina,4143,83,60,44
28,District of Columbia,660,5,4,3
29,Kansas,1266,99,111,114
30,Missouri,3402,72,46,30
31,Vermont,59,0,0,0
32,Virginia,3806,127,121,116
33,Connecticut,4759,54,35,22
34,Iowa,2023,170,180,179
35,Louisiana,6139,107,98,83
36,Ohio,5742,246,248,243
37,Michigan,8431,602,603,614
38,South Dakota,644,142,149,146
39,Arkansas,2225,56,42,59
40,Delaware,736,9,7,5
41,Mississippi,3545,106,102,97
42,New Mexico,1236,116,116,115
43,North Dakota,743,114,117,112
44,Wyoming,144,44,47,48
45,Alaska,98,14,17,19
46,Maine,165,17,25,27
47,Alabama,3249,243,286,301
48,Idaho,763,79,79,77
49,Montana,522,83,80,77
50,Puerto Rico,942,55,48,37
51,Virgin Islands,23,0,0,0
52,Guam,92,2,0,0
53,West Virginia,585,82,91,96
54,Northern Mariana Islands,2,0,0,0
55,American Samoa,0,0,0,0
