,State,298,304
0,Washington,2519,125
1,Illinois,11162,581
2,California,18262,253
3,Arizona,6302,167
4,Massachusetts,10329,188
5,Wisconsin,2751,109
6,Texas,19995,939
7,Nebraska,779,90
8,Utah,718,83
9,Oregon,761,42
10,Florida,17518,421
11,New York,34032,171
12,Rhode Island,1254,30
13,Georgia,8957,551
14,New Hampshire,499,10
15,North Carolina,4806,56
16,New Jersey,16566,171
17,Colorado,2546,181
18,Maryland,4302,110
19,Nevada,1909,105
20,Tennessee,3893,322
21,Hawaii,222,0
22,Indiana,4910,361
23,Kentucky,1661,109
24,Minnesota,2961,293
25,Oklahoma,1528,52
26,Pennsylvania,9290,231
27,South Carolina,4112,98
28,District of Columbia,660,5
29,Kansas,1256,77
30,Missouri,3387,241
31,Vermont,59,0
32,Virginia,3800,120
33,Connecticut,4737,65
34,Iowa,1989,191
35,Louisiana,6132,150
36,Ohio,5722,258
37,Michigan,8376,507
38,South Dakota,644,158
39,Arkansas,2183,56
40,Delaware,736,32
41,Mississippi,3543,122
42,New Mexico,1215,110
43,North Dakota,736,121
44,Wyoming,144,54
45,Alaska,98,16
46,Maine,165,19
47,Alabama,3248,160
48,Idaho,759,73
49,Montana,520,21
50,Puerto Rico,935,73
51,Virgin Islands,23,0
52,Guam,92,5
53,West Virginia,582,82
54,Northern Mariana Islands,2,0
55,American Samoa,0,0
