,State,239,248,255,262,269,276,283,290
0,Washington,2031,27,22,18,14,10,8,2
1,Illinois,8624,107,88,72,57,46,36,13
2,California,14804,493,406,327,259,208,167,61
3,Arizona,5409,119,95,77,62,49,38,14
4,Massachusetts,9260,73,59,47,37,29,23,8
5,Wisconsin,1231,38,33,26,22,17,14,5
6,Texas,14826,704,576,472,382,310,247,92
7,Nebraska,442,13,11,8,7,5,4,1
8,Utah,437,16,14,11,9,7,5,1
9,Oregon,521,20,16,13,10,8,6,2
10,Florida,13086,548,437,347,283,225,182,66
11,New York,33070,28,22,17,13,10,8,2
12,Rhode Island,1085,6,4,3,3,2,1,0
13,Georgia,6474,261,214,173,141,113,91,33
14,New Hampshire,438,2,1,1,0,0,0,0
15,North Carolina,3180,129,105,84,67,55,44,15
16,New Jersey,16057,32,26,20,15,12,9,3
17,Colorado,2006,26,22,17,14,11,8,3
18,Maryland,3861,38,30,23,19,14,11,4
19,Nevada,1506,46,37,30,23,18,14,5
20,Tennessee,2164,173,143,118,96,78,62,23
21,Hawaii,107,5,4,3,2,2,1,0
22,Indiana,3478,45,37,30,24,19,15,5
23,Kentucky,1093,48,40,33,27,22,17,6
24,Minnesota,1994,30,25,20,16,13,10,3
25,Oklahoma,930,48,40,33,27,22,17,6
26,Pennsylvania,7893,74,60,48,38,31,24,8
27,South Carolina,3158,118,95,78,63,50,41,14
28,District of Columbia,619,2,1,1,0,0,0,0
29,Kansas,582,35,29,24,19,15,12,4
30,Missouri,1782,67,55,46,37,30,24,8
31,Vermont,58,0,0,0,0,0,0,0
32,Virginia,2918,57,46,38,30,24,19,6
33,Connecticut,4488,9,7,5,4,3,2,0
34,Iowa,1250,39,33,27,21,17,13,5
35,Louisiana,5313,88,70,57,45,36,28,10
36,Ohio,4580,125,105,85,68,54,44,16
37,Michigan,6955,37,29,23,18,14,11,4
38,South Dakota,193,5,4,3,2,2,1,0
39,Arkansas,1166,77,65,55,45,36,29,10
40,Delaware,619,4,3,2,1,1,1,0
41,Mississippi,2780,82,66,53,43,33,26,9
42,New Mexico,836,13,10,8,6,4,3,1
43,North Dakota,182,9,8,6,5,4,3,1
44,Wyoming,49,2,1,1,1,0,0,0
45,Alaska,44,1,1,0,0,0,0,0
46,Maine,138,1,1,0,0,0,0,0
47,Alabama,2401,55,45,36,29,23,19,6
48,Idaho,434,20,16,13,10,8,6,2
49,Montana,143,11,9,8,6,5,4,1
50,Puerto Rico,588,42,34,28,22,17,14,5
51,Virgin Islands,19,0,0,0,0,0,0,0
52,Guam,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,297,28,24,20,16,13,10,3
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
