,State,313,318,325,332,339,346
0,Washington,2774,171,254,324,399,474
1,Illinois,12985,801,876,813,705,575
2,California,19173,346,400,444,488,519
3,Arizona,6639,76,88,107,127,148
4,Massachusetts,10748,314,356,398,427,440
5,Wisconsin,3494,254,235,191,148,110
6,Texas,21896,649,698,690,670,634
7,Nebraska,1018,109,132,132,123,109
8,Utah,871,74,84,84,80,72
9,Oregon,912,84,107,126,146,158
10,Florida,18597,426,458,498,546,598
11,New York,34605,431,571,725,891,1044
12,Rhode Island,1373,50,66,70,74,74
13,Georgia,9452,435,546,606,658,694
14,New Hampshire,526,31,43,58,72,86
15,North Carolina,5261,262,298,315,328,335
16,New Jersey,16993,224,299,355,398,422
17,Colorado,3037,256,291,289,266,229
18,Maryland,4641,204,263,322,374,408
19,Nevada,2144,121,142,162,179,187
20,Tennessee,4602,358,442,478,501,512
21,Hawaii,244,12,8,8,8,6
22,Indiana,5723,498,591,588,543,466
23,Kentucky,1908,133,143,137,124,107
24,Minnesota,3652,582,757,872,902,841
25,Oklahoma,1743,168,212,257,303,342
26,Pennsylvania,10335,668,890,1117,1360,1588
27,South Carolina,4381,131,165,186,208,225
28,District of Columbia,680,6,5,5,5,5
29,Kansas,1560,198,280,333,377,407
30,Missouri,3861,346,469,554,640,716
31,Vermont,69,4,8,13,23,35
32,Virginia,4062,96,108,108,104,99
33,Connecticut,5020,97,118,115,105,89
34,Iowa,2426,235,265,271,263,242
35,Louisiana,6420,110,116,121,124,126
36,Ohio,6429,381,511,614,712,790
37,Michigan,9564,663,891,980,1008,969
38,South Dakota,946,114,135,135,130,123
39,Arkansas,2502,176,192,203,213,221
40,Delaware,772,22,19,22,25,28
41,Mississippi,3807,102,89,91,92,94
42,New Mexico,1568,191,228,238,233,213
43,North Dakota,933,88,83,66,49,34
44,Wyoming,215,39,46,44,40,33
45,Alaska,121,13,15,16,16,15
46,Maine,194,14,21,26,31,34
47,Alabama,3578,161,187,188,182,169
48,Idaho,929,82,90,88,83,74
49,Montana,681,75,78,69,58,46
50,Puerto Rico,1106,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,23,NaN,NaN,NaN,NaN,NaN
52,Guam,112,NaN,NaN,NaN,NaN,NaN
53,West Virginia,735,101,126,152,181,209
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
