,State,214,220,227,234,241,248
0,Washington,1863,82,74,67,60,54
1,Illinois,8089,132,133,134,135,137
2,California,12153,874,822,773,725,679
3,Arizona,4771,197,135,91,61,41
4,Massachusetts,8921,103,105,108,111,114
5,Wisconsin,1081,44,42,40,39,37
6,Texas,11696,1249,1153,1062,976,896
7,Nebraska,378,18,19,21,23,25
8,Utah,385,21,19,17,15,13
9,Oregon,417,30,29,27,26,25
10,Florida,10325,1187,1213,1237,1260,1281
11,New York,32851,57,58,58,59,59
12,Rhode Island,1030,9,10,11,13,14
13,Georgia,5132,405,383,361,340,319
14,New Hampshire,429,2,2,1,1,1
15,North Carolina,2531,166,154,144,133,124
16,New Jersey,15946,40,42,44,46,48
17,Colorado,1918,21,18,15,13,11
18,Maryland,3691,55,49,44,39,34
19,Nevada,1197,108,97,86,77,68
20,Tennessee,1567,147,129,112,98,85
21,Hawaii,47,11,15,19,24,31
22,Indiana,3220,95,99,103,107,112
23,Kentucky,872,49,50,51,53,54
24,Minnesota,1813,54,53,52,51,49
25,Oklahoma,726,57,52,47,43,39
26,Pennsylvania,7557,109,101,93,86,79
27,South Carolina,2504,194,168,146,127,110
28,District of Columbia,604,5,5,4,4,4
29,Kansas,426,23,23,23,24,24
30,Missouri,1453,64,61,58,55,52
31,Vermont,58,0,0,0,0,0
32,Virginia,2467,78,75,72,68,65
33,Connecticut,4460,7,6,5,5,4
34,Iowa,1037,53,52,51,51,50
35,Louisiana,4746,168,129,99,75,58
36,Ohio,3978,141,133,125,118,111
37,Michigan,6659,72,74,75,77,78
38,South Dakota,161,10,11,13,14,15
39,Arkansas,687,64,56,49,43,37
40,Delaware,600,4,3,3,3,2
41,Mississippi,2240,161,139,120,102,87
42,New Mexico,745,23,20,16,14,11
43,North Dakota,136,11,12,12,13,13
44,Wyoming,37,3,3,3,3,3
45,Alaska,32,3,3,3,4,4
46,Maine,131,2,1,1,1,1
47,Alabama,2013,102,87,74,63,53
48,Idaho,307,35,33,31,30,28
49,Montana,90,10,10,11,11,11
50,Puerto Rico,390,66,71,76,81,87
51,Virgin Islands,11,NaN,NaN,NaN,NaN,NaN
52,Guam,6,NaN,NaN,NaN,NaN,NaN
53,West Virginia,179,21,20,19,18,17
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
