,State,361,367,374,381,388,395
0,Washington,3903,164,160,154,149,143
1,Illinois,20050,704,629,560,496,438
2,California,33615,3064,3015,2917,2786,2629
3,Arizona,11266,985,1046,1096,1134,1158
4,Massachusetts,13652,553,575,593,607,617
5,Wisconsin,5906,211,186,163,142,124
6,Texas,32600,2005,2136,2254,2355,2435
7,Nebraska,1837,65,55,46,39,33
8,Utah,1493,85,81,77,73,68
9,Oregon,1800,118,114,109,104,100
10,Florida,24137,1145,1248,1349,1447,1537
11,New York,40993,1438,1569,1693,1806,1903
12,Rhode Island,2005,91,86,81,75,70
13,Georgia,12296,613,674,729,778,815
14,New Hampshire,933,68,67,65,63,61
15,North Carolina,8083,596,653,708,762,811
16,New Jersey,20439,571,577,579,576,569
17,Colorado,5379,223,194,169,146,127
18,Maryland,6567,318,324,328,331,332
19,Nevada,3779,224,211,196,182,167
20,Tennessee,8391,583,543,499,455,410
21,Hawaii,321,12,12,13,14,15
22,Indiana,9310,427,397,367,337,309
23,Kentucky,3127,185,184,181,177,172
24,Minnesota,5995,174,142,116,94,76
25,Oklahoma,2987,200,201,200,197,192
26,Pennsylvania,19255,1225,1128,1028,930,835
27,South Carolina,6237,439,495,552,606,655
28,District of Columbia,850,30,32,33,34,36
29,Kansas,3489,239,224,208,193,178
30,Missouri,6468,280,256,232,210,190
31,Vermont,163,23,27,31,36,42
32,Virginia,5729,376,419,464,510,556
33,Connecticut,6594,245,241,236,229,222
34,Iowa,4323,168,159,151,142,134
35,Louisiana,8203,337,354,368,379,386
36,Ohio,10200,470,440,410,380,351
37,Michigan,14669,431,365,309,261,220
38,South Dakota,1656,51,43,36,30,25
39,Arkansas,4311,339,341,334,322,307
40,Delaware,1016,41,41,40,39,38
41,Mississippi,5521,335,355,372,387,399
42,New Mexico,2932,152,138,124,111,100
43,North Dakota,1406,25,19,15,11,8
44,Wyoming,522,25,21,18,15,12
45,Alaska,229,5,4,3,3,2
46,Maine,511,76,88,101,116,132
47,Alabama,6120,449,481,508,530,545
48,Idaho,1607,71,63,57,50,44
49,Montana,1092,38,33,29,25,21
50,Puerto Rico,1703,99,102,105,107,108
51,Virgin Islands,24,NaN,NaN,NaN,NaN,NaN
52,Guam,125,NaN,NaN,NaN,NaN,NaN
53,West Virginia,1776,176,176,175,172,168
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
