,State,312,318,325
0,Washington,2703,115,126
1,Illinois,12882,695,619
2,California,19151,540,567
3,Arizona,6634,176,189
4,Massachusetts,10722,156,147
5,Wisconsin,3487,283,257
6,Texas,21843,761,715
7,Nebraska,989,93,90
8,Utah,868,53,57
9,Oregon,905,77,79
10,Florida,18500,464,451
11,New York,34561,257,261
12,Rhode Island,1346,34,32
13,Georgia,9442,204,202
14,New Hampshire,526,18,18
15,North Carolina,5240,229,219
16,New Jersey,16978,180,176
17,Colorado,3003,191,188
18,Maryland,4625,129,117
19,Nevada,2136,111,103
20,Tennessee,4554,273,254
21,Hawaii,244,7,6
22,Indiana,5685,358,332
23,Kentucky,1896,126,137
24,Minnesota,3637,301,271
25,Oklahoma,1736,141,145
26,Pennsylvania,10297,410,374
27,South Carolina,4353,92,86
28,District of Columbia,680,8,7
29,Kansas,1529,129,133
30,Missouri,3850,220,216
31,Vermont,67,4,6
32,Virginia,4058,127,134
33,Connecticut,4961,113,102
34,Iowa,2399,162,153
35,Louisiana,6407,142,123
36,Ohio,6399,415,399
37,Michigan,9467,497,463
38,South Dakota,943,104,88
39,Arkansas,2470,110,104
40,Delaware,770,19,22
41,Mississippi,3806,91,88
42,New Mexico,1540,152,138
43,North Dakota,926,65,55
44,Wyoming,215,38,36
45,Alaska,121,26,25
46,Maine,191,12,15
47,Alabama,3577,131,125
48,Idaho,920,75,69
49,Montana,671,66,64
50,Puerto Rico,1094,NaN,NaN
51,Virgin Islands,23,NaN,NaN
52,Guam,112,NaN,NaN
53,West Virginia,729,67,66
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
