,State,291,297
0,Washington,2439,52
1,Illinois,10538,555
2,California,17973,216
3,Arizona,6164,228
4,Massachusetts,10149,134
5,Wisconsin,2570,333
6,Texas,19180,776
7,Nebraska,703,7
8,Utah,659,67
9,Oregon,730,78
10,Florida,17121,209
11,New York,33903,208
12,Rhode Island,1224,19
13,Georgia,8648,240
14,New Hampshire,489,0
15,North Carolina,4607,254
16,New Jersey,16429,84
17,Colorado,2394,148
18,Maryland,4212,51
19,Nevada,1851,91
20,Tennessee,3595,350
21,Hawaii,221,12
22,Indiana,4629,335
23,Kentucky,1565,66
24,Minnesota,2710,223
25,Oklahoma,1438,114
26,Pennsylvania,9005,242
27,South Carolina,4036,106
28,District of Columbia,654,18
29,Kansas,1166,83
30,Missouri,3165,44
31,Vermont,59,0
32,Virginia,3707,59
33,Connecticut,4671,63
34,Iowa,1845,143
35,Louisiana,6036,82
36,Ohio,5517,255
37,Michigan,7945,269
38,South Dakota,536,116
39,Arkansas,2085,124
40,Delaware,718,29
41,Mississippi,3443,114
42,New Mexico,1118,69
43,North Dakota,639,119
44,Wyoming,114,30
45,Alaska,84,10
46,Maine,152,2
47,Alabama,3084,125
48,Idaho,686,49
49,Montana,456,112
50,Puerto Rico,872,64
51,Virgin Islands,23,1
52,Guam,88,16
53,West Virginia,504,45
54,Northern Mariana Islands,2,0
55,American Samoa,0,NaN
