,State,256,262,269,276,283,290,297,304,311,318,325,332,339
0,Washington,2142,43,37,32,29,28,30,34,39,45,52,59,65
1,Illinois,9040,210,240,267,290,307,316,320,320,316,312,308,304
2,California,16147,439,364,308,276,269,281,304,337,375,412,445,470
3,Arizona,5706,64,34,18,10,7,6,6,7,7,8,9,9
4,Massachusetts,9510,114,115,110,104,98,92,85,80,75,70,66,61
5,Wisconsin,1377,105,147,192,234,264,280,286,287,285,283,284,285
6,Texas,16320,578,547,522,509,510,519,531,543,552,556,555,549
7,Nebraska,501,31,37,43,50,55,60,64,68,72,75,78,81
8,Utah,478,37,57,80,101,114,119,119,117,116,116,118,122
9,Oregon,572,24,30,38,48,58,68,77,84,90,95,101,107
10,Florida,14671,592,533,478,440,423,420,423,431,438,442,442,435
11,New York,33205,92,117,137,149,147,135,119,103,89,78,70,64
12,Rhode Island,1118,7,3,1,0,0,0,0,0,0,0,1,1
13,Georgia,7162,207,157,118,95,85,84,87,93,102,111,117,122
14,New Hampshire,443,5,13,31,64,99,121,125,113,94,78,67,59
15,North Carolina,3634,169,149,130,118,117,123,134,149,168,187,206,221
16,New Jersey,16136,23,16,10,7,5,4,4,4,4,4,3,3
17,Colorado,2068,24,23,22,23,24,26,30,33,37,42,46,51
18,Maryland,3958,18,8,3,2,1,1,1,1,1,2,2,3
19,Nevada,1623,26,15,9,6,5,5,6,7,8,9,10,11
20,Tennessee,2577,213,262,320,381,430,459,470,463,445,422,399,376
21,Hawaii,156,27,39,55,75,92,103,108,107,103,97,91,85
22,Indiana,3674,90,95,98,101,105,110,115,121,127,133,138,143
23,Kentucky,1209,52,58,65,75,86,97,108,119,128,136,143,150
24,Minnesota,2133,75,97,125,155,182,202,215,221,222,220,219,219
25,Oklahoma,1051,42,35,30,26,26,27,31,35,41,47,53,58
26,Pennsylvania,8195,99,82,66,56,52,51,54,58,64,70,76,80
27,South Carolina,3453,107,100,96,94,95,97,99,102,103,103,101,99
28,District of Columbia,631,7,8,10,11,11,11,10,10,9,9,8,8
29,Kansas,690,49,52,57,64,73,83,93,103,112,119,125,130
30,Missouri,2186,150,122,92,73,66,65,69,78,91,105,120,133
31,Vermont,58,0,0,0,0,0,0,0,0,0,0,0,0
32,Virginia,3273,67,31,14,7,5,5,6,7,9,12,15,17
33,Connecticut,4513,13,15,18,20,22,23,22,22,21,20,19,19
34,Iowa,1387,70,82,93,104,114,121,125,128,130,130,130,129
35,Louisiana,5577,104,109,115,118,117,111,102,91,80,70,61,54
36,Ohio,4925,183,224,279,342,401,447,478,492,491,483,474,465
37,Michigan,7124,87,100,116,132,146,158,166,172,175,177,180,182
38,South Dakota,248,32,39,45,49,52,52,51,50,48,46,44,42
39,Arkansas,1425,113,110,110,113,117,122,125,128,128,126,122,117
40,Delaware,645,12,14,15,15,16,16,15,15,15,15,15,15
41,Mississippi,3013,73,56,42,33,29,27,26,25,25,25,25,24
42,New Mexico,892,20,19,18,18,18,19,20,22,24,25,27,29
43,North Dakota,274,47,47,44,40,37,35,33,32,32,31,31,30
44,Wyoming,53,2,2,2,3,4,5,6,7,8,9,10,10
45,Alaska,58,4,2,1,0,0,0,0,0,0,0,1,1
46,Maine,142,1,0,0,0,0,0,0,1,1,1,1,2
47,Alabama,2558,32,18,10,7,5,5,6,7,8,10,12,13
48,Idaho,482,22,28,36,46,57,65,70,72,72,70,68,66
49,Montana,187,12,10,8,7,7,8,9,11,13,15,17,19
50,Puerto Rico,686,41,43,47,53,62,71,82,92,100,107,113,118
51,Virgin Islands,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,364,18,12,8,6,5,5,6,7,9,11,13,15
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
