,State,361,367,374
0,Washington,3903,209,199
1,Illinois,20050,717,664
2,California,33615,3650,3455
3,Arizona,11266,1037,865
4,Massachusetts,13652,497,457
5,Wisconsin,5906,298,255
6,Texas,32600,2112,2016
7,Nebraska,1837,78,77
8,Utah,1493,89,92
9,Oregon,1800,156,141
10,Florida,24137,1190,1139
11,New York,40993,1335,1245
12,Rhode Island,2005,88,75
13,Georgia,12296,793,748
14,New Hampshire,933,55,54
15,North Carolina,8083,625,590
16,New Jersey,20439,552,501
17,Colorado,5379,195,190
18,Maryland,6567,263,248
19,Nevada,3779,259,238
20,Tennessee,8391,564,486
21,Hawaii,321,14,15
22,Indiana,9310,380,355
23,Kentucky,3127,286,291
24,Minnesota,5995,178,155
25,Oklahoma,2987,288,290
26,Pennsylvania,19255,1201,1003
27,South Carolina,6237,398,371
28,District of Columbia,850,29,25
29,Kansas,3489,349,279
30,Missouri,6468,292,268
31,Vermont,163,13,11
32,Virginia,5729,387,387
33,Connecticut,6594,252,233
34,Iowa,4323,171,152
35,Louisiana,8203,295,273
36,Ohio,10200,599,605
37,Michigan,14669,412,375
38,South Dakota,1656,55,46
39,Arkansas,4311,257,229
40,Delaware,1016,58,53
41,Mississippi,5521,271,238
42,New Mexico,2932,169,151
43,North Dakota,1406,26,23
44,Wyoming,522,39,32
45,Alaska,229,15,17
46,Maine,511,71,58
47,Alabama,6120,520,432
48,Idaho,1607,83,82
49,Montana,1092,51,56
50,Puerto Rico,1703,NaN,NaN
51,Virgin Islands,24,NaN,NaN
52,Guam,125,NaN,NaN
53,West Virginia,1776,167,143
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
