,State,193,199,206,213,220,227
0,Washington,1596,93,122,160,206,247
1,Illinois,7714,173,214,263,310,350
2,California,9396,1008,1227,1543,1849,2044
3,Arizona,3765,338,341,344,340,320
4,Massachusetts,8638,68,80,102,133,166
5,Wisconsin,948,123,156,194,227,253
6,Texas,7581,903,1080,1240,1342,1368
7,Nebraska,332,36,44,53,63,70
8,Utah,311,67,84,101,113,121
9,Oregon,326,74,92,112,129,141
10,Florida,7084,904,1043,1160,1212,1188
11,New York,32697,178,194,223,294,398
12,Rhode Island,1007,1,2,4,6,8
13,Georgia,3840,363,404,433,445,439
14,New Hampshire,417,8,9,12,15,20
15,North Carolina,1983,349,394,425,444,448
16,New Jersey,15836,70,74,82,90,101
17,Colorado,1844,65,88,122,163,204
18,Maryland,3515,86,90,96,98,98
19,Nevada,832,117,130,149,164,168
20,Tennessee,1073,235,263,284,295,294
21,Hawaii,26,7,11,17,24,31
22,Indiana,2975,105,124,146,162,176
23,Kentucky,742,81,106,141,179,209
24,Minnesota,1654,73,88,103,118,127
25,Oklahoma,550,114,140,162,176,185
26,Pennsylvania,7223,164,171,210,280,372
27,South Carolina,1777,289,299,296,285,269
28,District of Columbia,586,6,6,7,8,10
29,Kansas,361,51,63,77,90,99
30,Missouri,1276,109,140,173,206,229
31,Vermont,57,1,2,2,3,5
32,Virginia,2218,145,183,234,288,337
33,Connecticut,4432,25,30,34,39,43
34,Iowa,878,68,80,90,100,105
35,Louisiana,4007,190,187,204,229,248
36,Ohio,3529,269,332,401,468,518
37,Michigan,6457,110,145,205,281,361
38,South Dakota,135,14,14,14,13,12
39,Arkansas,464,101,120,139,152,155
40,Delaware,585,16,18,20,21,23
41,Mississippi,1703,163,176,180,178,168
42,New Mexico,654,57,61,72,88,102
43,North Dakota,105,17,20,22,23,24
44,Wyoming,26,7,9,11,14,16
45,Alaska,24,12,14,17,20,23
46,Maine,123,5,6,8,10,14
47,Alabama,1627,218,235,244,243,234
48,Idaho,197,64,83,99,108,109
49,Montana,61,20,24,29,33,35
50,Puerto Rico,230,8,9,9,11,14
51,Virgin Islands,8,0,0,0,0,0
52,Guam,5,0,0,0,0,0
53,West Virginia,117,19,21,27,38,49
54,Northern Mariana Islands,2,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
