,State,248,255,262,269,276,283
0,Washington,2100,54,51,51,54,59
1,Illinois,8832,146,136,131,129,131
2,California,15583,546,496,475,473,484
3,Arizona,5622,118,97,87,81,78
4,Massachusetts,9391,72,61,56,54,53
5,Wisconsin,1281,48,54,60,68,80
6,Texas,15707,594,528,491,471,463
7,Nebraska,469,20,18,18,18,19
8,Utah,448,16,18,19,20,22
9,Oregon,542,22,24,25,28,31
10,Florida,14022,639,559,511,480,457
11,New York,33125,73,76,77,77,80
12,Rhode Island,1107,15,13,12,11,11
13,Georgia,6914,303,271,249,233,222
14,New Hampshire,439,2,3,3,4,4
15,North Carolina,3440,174,160,154,154,157
16,New Jersey,16103,38,38,38,38,40
17,Colorado,2040,28,29,30,31,33
18,Maryland,3925,43,39,38,37,37
19,Nevada,1582,52,46,43,42,43
20,Tennessee,2374,141,129,121,116,113
21,Hawaii,131,14,14,14,14,15
22,Indiana,3577,69,66,64,64,66
23,Kentucky,1154,53,54,54,56,59
24,Minnesota,2056,47,47,47,48,49
25,Oklahoma,1004,51,48,47,47,47
26,Pennsylvania,8083,136,142,154,172,196
27,South Carolina,3323,123,118,114,112,113
28,District of Columbia,624,3,3,3,2,2
29,Kansas,635,41,39,39,39,41
30,Missouri,2054,118,105,103,106,110
31,Vermont,58,0,0,0,0,0
32,Virginia,3142,143,126,120,120,122
33,Connecticut,4501,14,15,16,18,20
34,Iowa,1314,54,52,50,49,48
35,Louisiana,5444,112,101,91,82,75
36,Ohio,4740,146,144,145,149,156
37,Michigan,7044,64,62,62,63,65
38,South Dakota,218,18,18,18,18,17
39,Arkansas,1285,75,66,61,58,56
40,Delaware,633,6,5,5,5,5
41,Mississippi,2911,97,85,75,67,61
42,New Mexico,870,26,26,26,26,27
43,North Dakota,227,28,27,26,25,24
44,Wyoming,50,2,2,2,2,3
45,Alaska,52,4,4,4,5,5
46,Maine,140,2,2,2,3,3
47,Alabama,2501,74,69,64,60,56
48,Idaho,460,23,22,20,19,18
49,Montana,171,17,17,17,19,21
50,Puerto Rico,642,47,49,49,50,52
51,Virgin Islands,19,1,1,1,1,1
52,Guam,39,7,7,6,5,5
53,West Virginia,337,31,31,32,33,35
54,Northern Mariana Islands,2,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
