,State,172,178,185,192,199,206
0,Washington,1438,93,113,141,170,197
1,Illinois,7388,231,235,275,364,480
2,California,7051,866,1152,1344,1376,1504
3,Arizona,2237,358,357,338,347,362
4,Massachusetts,8325,82,84,91,101,109
5,Wisconsin,820,71,97,136,193,244
6,Texas,3739,609,678,784,937,1082
7,Nebraska,285,27,32,42,56,71
8,Utah,215,59,71,85,95,102
9,Oregon,234,38,55,77,105,131
10,Florida,4242,552,575,635,733,828
11,New York,32395,222,246,291,345,447
12,Rhode Island,976,1,1,2,3,5
13,Georgia,3003,212,259,315,358,387
14,New Hampshire,391,9,10,12,15,20
15,North Carolina,1522,218,270,327,376,412
16,New Jersey,15525,116,121,142,178,215
17,Colorado,1725,46,46,52,67,92
18,Maryland,3319,92,102,117,134,151
19,Nevada,593,70,90,112,109,109
20,Tennessee,741,137,170,205,233,256
21,Hawaii,19,2,3,6,10,15
22,Indiana,2760,94,116,151,192,236
23,Kentucky,625,61,69,79,103,138
24,Minnesota,1540,79,92,114,139,159
25,Oklahoma,422,57,81,108,136,161
26,Pennsylvania,6904,147,164,192,226,264
27,South Carolina,961,173,206,233,251,255
28,District of Columbia,568,8,8,9,12,15
29,Kansas,297,35,47,65,85,105
30,Missouri,1092,60,74,99,133,169
31,Vermont,56,1,1,1,2,4
32,Virginia,1966,134,156,169,207,259
33,Connecticut,4348,22,26,35,49,66
34,Iowa,752,51,63,81,100,118
35,Louisiana,3416,143,180,221,255,268
36,Ohio,3058,199,226,260,294,320
37,Michigan,6314,127,150,178,249,355
38,South Dakota,109,15,16,17,17,17
39,Arkansas,321,80,98,127,156,178
40,Delaware,517,16,19,25,33,40
41,Mississippi,1249,87,105,125,141,149
42,New Mexico,545,40,51,67,83,98
43,North Dakota,87,9,12,15,18,21
44,Wyoming,21,5,6,9,14,18
45,Alaska,17,4,6,8,11,14
46,Maine,114,7,8,9,12,14
47,Alabama,1121,148,175,199,218,227
48,Idaho,102,17,25,37,51,64
49,Montana,29,6,8,11,15,18
50,Puerto Rico,167,9,11,11,12,13
51,Virgin Islands,6,0,0,0,0,0
52,Guam,5,0,0,0,0,0
53,West Virginia,96,12,16,18,25,34
54,Northern Mariana Islands,2,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
