,State,340,346,353,360,367,374
0,Washington,3184,122,122,122,121,120
1,Illinois,17336,946,858,775,696,623
2,California,24282,2071,2263,2405,2514,2598
3,Arizona,8427,659,671,664,646,621
4,Massachusetts,12110,556,666,789,924,1069
5,Wisconsin,5039,298,258,222,190,162
6,Texas,26966,1559,1665,1770,1871,1968
7,Nebraska,1559,97,81,68,56,46
8,Utah,1214,85,81,76,71,66
9,Oregon,1427,133,121,110,98,88
10,Florida,21212,881,974,1072,1175,1282
11,New York,37411,1026,1089,1129,1154,1171
12,Rhode Island,1704,90,76,61,48,37
13,Georgia,10689,403,461,525,595,671
14,New Hampshire,708,57,53,47,41,34
15,North Carolina,6549,437,493,553,617,684
16,New Jersey,18630,482,486,487,485,481
17,Colorado,4610,339,298,260,226,195
18,Maryland,5712,311,309,306,301,294
19,Nevada,2950,231,211,186,162,140
20,Tennessee,6512,591,565,527,485,443
21,Hawaii,285,10,10,10,11,11
22,Indiana,7843,535,516,493,469,442
23,Kentucky,2555,156,148,138,128,118
24,Minnesota,5206,272,215,169,131,102
25,Oklahoma,2370,165,166,166,164,162
26,Pennsylvania,14969,1470,1420,1336,1238,1138
27,South Carolina,5155,271,325,388,458,536
28,District of Columbia,768,29,33,39,44,51
29,Kansas,2503,217,204,190,176,162
30,Missouri,5471,388,370,351,332,312
31,Vermont,127,23,29,36,45,57
32,Virginia,4854,254,247,233,216,199
33,Connecticut,5791,223,210,194,177,161
34,Iowa,3744,277,228,185,149,120
35,Louisiana,7291,266,261,252,241,230
36,Ohio,8509,539,516,487,455,423
37,Michigan,12690,657,566,485,413,351
38,South Dakota,1446,86,72,60,49,41
39,Arkansas,3482,336,349,354,354,351
40,Delaware,897,44,45,46,45,44
41,Mississippi,4606,259,280,302,325,347
42,New Mexico,2346,172,155,138,123,108
43,North Dakota,1266,52,40,30,23,17
44,Wyoming,373,23,18,14,11,8
45,Alaska,200,15,12,10,8,7
46,Maine,323,40,42,44,45,47
47,Alabama,4691,407,482,565,655,749
48,Idaho,1354,104,102,99,95,92
49,Montana,924,46,39,33,27,23
50,Puerto Rico,1445,103,112,122,132,144
51,Virgin Islands,23,NaN,NaN,NaN,NaN,NaN
52,Guam,121,NaN,NaN,NaN,NaN,NaN
53,West Virginia,1254,173,177,179,179,178
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
