,State,368,374
0,Washington,4114,97
1,Illinois,20680,483
2,California,37121,3987
3,Arizona,12238,1640
4,Massachusetts,14133,478
5,Wisconsin,6190,331
6,Texas,34911,2659
7,Nebraska,1879,53
8,Utah,1595,111
9,Oregon,1880,40
10,Florida,25293,1293
11,New York,42325,1293
12,Rhode Island,2083,113
13,Georgia,13250,1293
14,New Hampshire,987,29
15,North Carolina,8695,710
16,New Jersey,20951,833
17,Colorado,5505,76
18,Maryland,6865,301
19,Nevada,4026,190
20,Tennessee,8859,339
21,Hawaii,341,29
22,Indiana,9716,413
23,Kentucky,3421,357
24,Minnesota,6163,154
25,Oklahoma,3279,304
26,Pennsylvania,20532,1150
27,South Carolina,6547,442
28,District of Columbia,872,21
29,Kansas,3587,28
30,Missouri,6781,260
31,Vermont,170,6
32,Virginia,6078,402
33,Connecticut,6819,201
34,Iowa,4487,506
35,Louisiana,8565,464
36,Ohio,10711,539
37,Michigan,15181,388
38,South Dakota,1705,43
39,Arkansas,4606,249
40,Delaware,1041,9
41,Mississippi,5772,188
42,New Mexico,3145,230
43,North Dakota,1436,39
44,Wyoming,571,43
45,Alaska,259,12
46,Maine,544,65
47,Alabama,6660,744
48,Idaho,1669,54
49,Montana,1151,35
50,Puerto Rico,1773,40
51,Virgin Islands,24,0
52,Guam,128,1
53,West Virginia,1895,43
54,Northern Mariana Islands,2,0
55,American Samoa,0,0
