,State,368,374,381
0,Washington,4114,219,208
1,Illinois,20680,596,563
2,California,37121,2923,2587
3,Arizona,12238,721,555
4,Massachusetts,14133,402,339
5,Wisconsin,6190,236,210
6,Texas,34911,1996,1815
7,Nebraska,1879,82,78
8,Utah,1595,74,81
9,Oregon,1880,96,93
10,Florida,25293,1083,1016
11,New York,42325,1177,1021
12,Rhode Island,2083,80,66
13,Georgia,13250,800,716
14,New Hampshire,987,61,58
15,North Carolina,8695,560,495
16,New Jersey,20951,457,406
17,Colorado,5505,140,147
18,Maryland,6865,245,213
19,Nevada,4026,190,156
20,Tennessee,8859,417,386
21,Hawaii,341,17,19
22,Indiana,9716,349,328
23,Kentucky,3421,280,271
24,Minnesota,6163,148,130
25,Oklahoma,3279,291,282
26,Pennsylvania,20532,863,635
27,South Carolina,6547,398,383
28,District of Columbia,872,18,16
29,Kansas,3587,128,132
30,Missouri,6781,249,234
31,Vermont,170,10,11
32,Virginia,6078,416,409
33,Connecticut,6819,196,171
34,Iowa,4487,149,139
35,Louisiana,8565,313,270
36,Ohio,10711,530,505
37,Michigan,15181,427,399
38,South Dakota,1705,46,45
39,Arkansas,4606,238,196
40,Delaware,1041,34,38
41,Mississippi,5772,245,226
42,New Mexico,3145,169,155
43,North Dakota,1436,22,21
44,Wyoming,571,34,28
45,Alaska,259,25,19
46,Maine,544,39,41
47,Alabama,6660,379,311
48,Idaho,1669,66,62
49,Montana,1151,58,63
50,Puerto Rico,1773,NaN,NaN
51,Virgin Islands,24,NaN,NaN
52,Guam,128,NaN,NaN
53,West Virginia,1895,109,100
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
