,State,320,325,332,339,346,353,360,367,374,381
0,Washington,2941,188,192,204,219,234,242,239,230,219
1,Illinois,14214,1137,898,629,457,343,261,200,154,120
2,California,20015,879,1220,1629,1925,2168,2390,2581,2743,2867
3,Arizona,6950,314,444,594,694,770,837,885,911,914
4,Massachusetts,11035,292,374,446,464,459,447,432,414,395
5,Wisconsin,3973,258,220,167,120,87,65,50,40,33
6,Texas,23186,1423,1625,1888,2117,2343,2558,2733,2830,2821
7,Nebraska,1236,143,117,86,65,51,40,32,26,22
8,Utah,949,81,81,73,59,45,34,26,20,15
9,Oregon,1045,118,134,155,172,188,204,220,235,247
10,Florida,19282,687,762,811,791,748,702,658,616,575
11,New York,35034,364,598,924,1246,1612,2044,2509,2941,3239
12,Rhode Island,1448,122,111,98,88,79,70,62,55,48
13,Georgia,9851,167,338,467,483,460,429,392,352,309
14,New Hampshire,566,21,30,39,45,49,52,56,58,60
15,North Carolina,5560,343,381,415,418,410,399,387,375,363
16,New Jersey,17336,356,352,345,330,313,297,282,269,256
17,Colorado,3358,283,276,252,214,178,148,124,104,88
18,Maryland,4865,258,268,271,261,245,230,214,199,183
19,Nevada,2319,233,225,220,223,231,239,239,226,202
20,Tennessee,5009,496,491,474,437,397,361,327,295,266
21,Hawaii,262,14,11,9,7,7,6,6,6,7
22,Indiana,6284,559,520,458,390,327,273,230,193,164
23,Kentucky,2082,98,142,182,191,189,184,177,168,156
24,Minnesota,4064,503,417,317,246,195,156,126,102,84
25,Oklahoma,1911,103,123,135,128,114,101,90,80,70
26,Pennsylvania,11319,989,1117,1261,1339,1380,1401,1403,1387,1360
27,South Carolina,4579,183,184,179,165,149,134,121,110,100
28,District of Columbia,701,20,20,20,19,19,18,17,17,16
29,Kansas,1856,155,152,138,115,93,75,61,49,40
30,Missouri,4289,285,226,161,118,89,69,54,44,36
31,Vermont,81,7,9,12,14,17,19,20,20,19
32,Virginia,4208,207,214,236,261,283,295,298,300,302
33,Connecticut,5224,223,224,216,199,180,162,145,129,114
34,Iowa,2723,185,135,82,51,33,22,16,12,9
35,Louisiana,6607,395,424,513,595,690,796,856,842,763
36,Ohio,7022,530,535,535,517,491,463,435,407,377
37,Michigan,10422,721,697,640,562,485,422,366,319,279
38,South Dakota,1110,182,135,84,56,40,30,22,17,14
39,Arkansas,2713,169,191,203,195,182,165,146,126,106
40,Delaware,793,29,37,46,52,56,61,64,66,67
41,Mississippi,3961,166,222,280,309,327,339,345,342,331
42,New Mexico,1756,266,248,224,201,180,162,146,132,119
43,North Dakota,1028,110,77,42,23,14,9,6,4,3
44,Wyoming,289,42,35,27,21,16,13,10,9,7
45,Alaska,146,13,16,23,29,31,28,20,13,8
46,Maine,227,27,25,24,23,23,23,24,25,26
47,Alabama,3892,239,300,352,359,349,334,317,296,274
48,Idaho,1055,91,94,89,78,66,56,47,40,33
49,Montana,742,78,72,63,54,43,32,23,17,14
50,Puerto Rico,1203,1,1,1,0,0,0,1,1,0
51,Virgin Islands,23,0,0,0,0,0,0,0,0,0
52,Guam,113,0,0,0,0,0,0,0,0,0
53,West Virginia,841,138,134,136,144,152,153,151,148,145
54,Northern Mariana Islands,2,0,0,0,0,0,0,0,0,0
55,American Samoa,0,0,0,0,0,0,0,0,0,0
